Flight,Airline,Delay_Minutes,Destination,Ticket_Class
FL001,Go First,28.0,Delhi,Business
FL002,SpiceJet,62.0,Hyderabad,Economy
FL003,Go First,26.0,Mumbai,Business
FL004,Vistara,8.0,Delhi,Economy
FL005,Air India,59.0,Delhi,Business
FL006,Air India,166.0,Jaipur,Economy
FL007,Vistara,150.0,Chennai,Economy
FL008,Air India,178.0,Jaipur,Premium Economy
FL009,SpiceJet,39.0,Hyderabad,Premium Economy
FL010,IndiGo,23.0,Jaipur,Economy
FL011,SpiceJet,88.0,Chennai,Economy
FL012,Go First,117.0,Mumbai,Premium Economy
FL013,IndiGo,141.0,Chennai,Business
FL014,Akasa Air,92.0,Hyderabad,Business
FL015,IndiGo,11.0,Hyderabad,Premium Economy
FL016,IndiGo,59.0,Mumbai,Premium Economy
FL017,SpiceJet,116.0,Kolkata,Economy
FL018,SpiceJet,90.0,Hyderabad,Business
FL019,SpiceJet,179.0,Mumbai,Business
FL020,Go First,43.0,Hyderabad,Economy
FL021,Vistara,,Chennai,Business
FL022,Go First,142.0,Hyderabad,Business
FL023,SpiceJet,14.0,Hyderabad,Economy
FL024,SpiceJet,102.0,Chennai,Economy
FL025,Air India,145.0,Kolkata,Economy
FL026,Go First,127.0,Jaipur,Business
FL027,Vistara,36.0,Chennai,Economy
FL028,Air India,143.0,Chennai,Business
FL029,Akasa Air,109.0,Jaipur,Premium Economy
FL030,Air India,35.0,Goa,Economy
FL031,IndiGo,28.0,Bangalore,Business
FL032,Air India,174.0,Jaipur,Business
FL033,IndiGo,98.0,Jaipur,Business
FL034,Vistara,135.0,Chennai,Business
FL035,IndiGo,174.0,Mumbai,Business
FL036,Akasa Air,68.0,Kolkata,Economy
FL037,SpiceJet,111.0,Bangalore,Premium Economy
FL038,IndiGo,67.0,Bangalore,Business
FL039,IndiGo,160.0,Chennai,Business
FL040,Akasa Air,155.0,Hyderabad,Economy
FL041,SpiceJet,41.0,Delhi,Business
FL042,SpiceJet,125.0,Delhi,Economy
FL043,SpiceJet,78.0,Hyderabad,Economy
FL044,Air India,145.0,Mumbai,Economy
FL045,Go First,124.0,Mumbai,Business
FL046,Air India,32.0,Goa,Business
FL047,Air India,67.0,Jaipur,Economy
FL048,Akasa Air,176.0,Hyderabad,Business
FL049,SpiceJet,102.0,Kolkata,Premium Economy
FL050,Akasa Air,115.0,Mumbai,Economy
FL051,Air India,16.0,Kolkata,Economy
FL052,Akasa Air,141.0,Hyderabad,Business
FL053,Air India,1.0,Mumbai,Business
FL054,Go First,15.0,Hyderabad,Economy
FL055,IndiGo,84.0,Mumbai,Business
FL056,Air India,71.0,Goa,Economy
FL057,Akasa Air,33.0,Goa,Economy
FL058,Vistara,104.0,Hyderabad,Economy
FL059,IndiGo,168.0,Jaipur,Premium Economy
FL060,Vistara,105.0,Goa,Business
FL061,IndiGo,172.0,Mumbai,Economy
FL062,Vistara,86.0,Mumbai,Economy
FL063,Air India,48.0,Goa,Economy
FL064,Vistara,46.0,Chennai,Premium Economy
FL065,Air India,19.0,Goa,Business
FL066,IndiGo,12.0,Delhi,Economy
FL067,Air India,42.0,Jaipur,Premium Economy
FL068,Vistara,54.0,Jaipur,Economy
FL069,Air India,97.0,Delhi,Premium Economy
FL070,SpiceJet,116.0,Chennai,Premium Economy
FL071,Go First,142.0,Goa,Economy
FL072,Air India,75.0,Hyderabad,Economy
FL073,Akasa Air,138.0,Delhi,Business
FL074,SpiceJet,14.0,Delhi,Business
FL075,Vistara,128.0,Bangalore,Economy
FL076,Akasa Air,20.0,Bangalore,
FL077,Akasa Air,17.0,Hyderabad,Premium Economy
FL078,IndiGo,145.0,Hyderabad,Business
FL079,Akasa Air,10.0,Mumbai,Premium Economy
FL080,Go First,149.0,Kolkata,Premium Economy
FL081,Air India,171.0,Kolkata,Economy
FL082,SpiceJet,101.0,Bangalore,Business
FL083,Go First,76.0,Goa,Premium Economy
FL084,IndiGo,2.0,Goa,Business
FL085,Akasa Air,25.0,Mumbai,Business
FL086,Air India,129.0,Chennai,Economy
FL087,SpiceJet,17.0,Hyderabad,Premium Economy
FL088,SpiceJet,40.0,Goa,Business
FL089,Go First,77.0,Delhi,Business
FL090,Akasa Air,76.0,Mumbai,Economy
FL091,SpiceJet,29.0,Mumbai,Business
FL092,Akasa Air,39.0,Chennai,Premium Economy
FL093,Akasa Air,53.0,Kolkata,Economy
FL094,Go First,162.0,Chennai,Business
FL095,Vistara,64.0,Delhi,Economy
FL096,Go First,108.0,Chennai,Economy
FL097,IndiGo,85.0,Bangalore,Business
FL098,SpiceJet,41.0,Goa,Business
FL099,Go First,109.0,Delhi,Economy
FL100,IndiGo,176.0,Bangalore,Business
FL101,IndiGo,94.0,Bangalore,Premium Economy
FL102,Air India,10.0,Chennai,Premium Economy
