Passenger_ID,Airline,Source_City,Destination_City,Ticket_Price,Flight_Duration,Travel_Class,Delay_Minutes
P001,SpiceJet,Mumbai,Delhi,3843.0,4.3,Economy,6.0
P002,Vistara,Mumbai,Kolkata,3467.0,2.0,Economy,0.0
P003,IndiGo,Delhi,Kolkata,11945.0,3.5,Premium Economy,29.0
P004,IndiGo,Delhi,Jaipur,5487.0,2.3,Economy,51.0
P005,SpiceJet,Chennai,Jaipur,5812.0,1.4,Economy,40.0
P006,Vistara,Delhi,Pune,5800.0,1.4,Economy,2.0
P007,Akasa Air,Hyderabad,Jaipur,9162.0,3.6,Premium Economy,23.0
P008,SpiceJet,Chennai,Jaipur,16107.0,4.9,Business,19.0
P009,Vistara,Pune,Bengaluru,5688.0,1.7,Economy,6.0
P010,IndiGo,Mumbai,Kolkata,4705.0,1.7,Economy,48.0
P011,Akasa Air,Pune,Bengaluru,5356.0,4.8,Economy,27.0
P012,SpiceJet,Delhi,Jaipur,3242.0,1.9,Economy,10.0
P013,Vistara,Kolkata,Mumbai,7966.0,3.1,Economy,23.0
P014,Akasa Air,Hyderabad,Pune,7480.0,2.8,Economy,39.0
P015,Akasa Air,Chennai,Mumbai,3085.0,4.9,Economy,31.0
P016,Air India,Pune,Hyderabad,,5.5,Economy,34.0
P017,Air India,Hyderabad,Kolkata,3638.0,4.1,Economy,9.0
P018,SpiceJet,Kolkata,Delhi,6416.0,1.0,Economy,21.0
P019,IndiGo,Hyderabad,Kolkata,3571.0,4.9,Economy,16.0
P020,SpiceJet,Chennai,Mumbai,10618.0,5.3,Premium Economy,52.0
P006,Vistara,Delhi,Pune,5800.0,1.4,Economy,2.0
P022,Air India,Hyderabad,Mumbai,7347.0,5.3,Economy,0.0
P023,Vistara,Mumbai,Pune,10563.0,4.4,Premium Economy,40.0
P024,Akasa Air,Bengaluru,Chennai,9666.0,5.3,Premium Economy,41.0
P025,SpiceJet,Chennai,Pune,8202.0,3.9,Economy,2.0
P026,IndiGo,Mumbai,Bengaluru,2872.0,3.6,Economy,34.0
P027,IndiGo,Chennai,Kolkata,8498.0,3.8,Economy,30.0
P028,Akasa Air,Kolkata,Delhi,8180.0,3.2,Economy,68.0
P029,Akasa Air,Bengaluru,Pune,4690.0,4.5,Economy,29.0
P030,Vistara,Mumbai,Pune,6067.0,3.1,Economy,12.0
P031,Air India,Delhi,Pune,5479.0,4.6,Economy,35.0
P032,Vistara,Jaipur,Mumbai,6489.0,2.1,Economy,33.0
P033,Akasa Air,Mumbai,Hyderabad,8042.0,5.5,Economy,52.0
P034,Vistara,Chennai,Mumbai,4451.0,4.9,Economy,0.0
P035,Vistara,Delhi,Bengaluru,5898.0,2.2,Economy,29.0
P036,Akasa Air,Pune,Kolkata,6686.0,1.7,Economy,3.0
P037,Air India,Hyderabad,Mumbai,7141.0,1.3,Economy,22.0
P038,Akasa Air,Jaipur,Hyderabad,6860.0,1.4,Economy,30.0
P039,Akasa Air,Bengaluru,Delhi,4626.0,2.8,Economy,49.0
P040,Air India,Delhi,Kolkata,7481.0,3.5,Economy,15.0
P041,IndiGo,Kolkata,Bengaluru,5273.0,2.1,Economy,
P042,SpiceJet,Hyderabad,Chennai,14794.0,1.0,Business,43.0
P043,Akasa Air,Mumbai,Delhi,4872.0,1.6,Economy,20.0
P044,SpiceJet,Chennai,Bengaluru,7150.0,4.2,Economy,31.0
P045,Akasa Air,Delhi,Pune,8134.0,1.5,Economy,36.0
P046,Akasa Air,Mumbai,Pune,5008.0,3.7,Economy,14.0
