Coin,Market_Cap,Daily_Return,Trading_Volume,Category
Ethereum_1,6740.18,-5.37,11199.38,AI
Ethereum_2,169336.52,16.23,4392.59,Meme
Bitcoin_3,7934.41,-7.35,25292.5,Payment
Avalanche_4,50109.99,7.75,27269.83,DeFi
Litecoin_5,147521.79,13.33,374.61,DeFi
Dogecoin_6,85392.5,-9.56,47862.79,Layer 1
Ethereum_7,23640.09,-11.61,42382.34,Gaming
Polkadot_8,201878.5,10.54,26834.59,Meme
Ethereum_9,138234.14,14.03,30945.06,Layer 1
Chainlink_10,48476.0,-12.57,33080.1,Layer 1
Ethereum_11,213901.77,15.33,19037.3,Meme
Ripple_12,41082.2,-2.57,33525.25,AI
Ethereum_13,152478.19,-9.01,36469.88,DeFi
Litecoin_14,95174.13,19.63,32017.99,Gaming
Cardano_15,171311.26,14.5,38811.2,DeFi
Bitcoin_16,201358.93,-0.96,3356.12,Gaming
Ripple_17,53550.32,2.47,44239.92,AI
Litecoin_18,36146.46,-10.11,37262.2,Gaming
Polkadot_19,186879.95,,29197.47,Layer 1
Cardano_20,249332.78,-10.16,24701.12,Payment
Ethereum_21,38633.91,-9.4,34040.04,Gaming
Ethereum_22,96499.44,5.86,23429.09,Layer 1
Avalanche_23,215264.54,-14.6,36050.05,AI
Avalanche_24,187844.01,11.9,17041.76,Layer 1
Dogecoin_25,39960.36,-14.89,36118.5,AI
Polkadot_26,242986.08,11.67,25408.7,Payment
Polkadot_27,210496.5,2.77,9985.61,Layer 1
Solana_28,135075.07,12.25,26541.17,Payment
Chainlink_29,81376.94,-14.32,46458.48,Layer 1
Cardano_30,14952.33,15.73,47350.12,Payment
Litecoin_31,204097.8,19.23,26658.67,DeFi
Solana_32,165107.83,18.14,8298.09,Gaming
Chainlink_33,106072.92,-7.59,26987.84,AI
Cardano_34,178380.77,-1.04,33600.76,Layer 1
Litecoin_35,224953.71,0.8,12432.89,Payment
Ripple_36,5748.05,4.39,29442.58,Payment
Ethereum_37,177106.32,-12.94,3416.65,Payment
Ripple_38,18178.91,-6.67,33465.44,DeFi
Avalanche_39,33511.81,17.74,28573.6,Meme
Cardano_40,196262.55,13.26,9560.98,Payment
Dogecoin_41,88897.24,-0.61,43198.65,Payment
Ethereum_42,15622.86,10.49,40039.6,Payment
Cardano_43,48301.72,3.77,7052.11,DeFi
Polkadot_44,115925.7,15.61,3815.48,Gaming
Ethereum_45,13121.79,19.97,41809.58,Payment
Cardano_46,41994.62,2.0,10726.68,Meme
Bitcoin_47,41576.96,-14.92,19551.57,Meme
Polkadot_48,106040.37,18.51,49771.36,Gaming
Litecoin_49,39121.81,-4.62,48437.03,Gaming
Avalanche_50,15708.91,-4.02,2554.61,Meme
Avalanche_51,229887.09,3.59,2891.14,Gaming
Ethereum_52,212909.97,-12.6,3444.65,DeFi
Dogecoin_53,30411.71,16.16,12348.46,Gaming
Bitcoin_54,155035.69,-0.33,29204.43,Gaming
Ripple_55,233709.21,-7.85,35823.78,DeFi
