Day,Units_Consumed,Temperature,City
1,93.0,32.4,Bangalore
2,152.6,18.6,Delhi
3,543.9,33.7,Delhi
4,96.5,30.7,Delhi
5,342.8,17.7,Delhi
6,452.3,29.6,Pune
7,194.6,29.1,Jaipur
8,532.0,19.7,Mumbai
9,256.9,34.4,Mumbai
10,477.0,17.5,Delhi
11,130.3,13.2,Bangalore
12,499.7,31.1,Pune
13,144.9,26.1,Chandigarh
14,232.5,12.8,Pune
15,528.1,31.6,Jaipur
16,116.2,16.7,Pune
17,230.5,18.0,Delhi
18,530.6,39.9,Chandigarh
19,410.6,19.7,Bangalore
20,264.7,15.7,Pune
21,567.1,19.3,Pune
22,410.2,12.5,Jaipur
23,165.0,35.5,Chandigarh
24,561.2,19.4,Pune
25,436.0,29.5,Delhi
26,,18.0,Bangalore
27,114.4,24.0,Jaipur
28,243.6,40.7,Pune
29,540.0,27.5,Pune
30,217.7,26.1,Mumbai
31,360.3,36.1,Pune
32,546.9,30.5,Chandigarh
33,598.6,22.7,Mumbai
34,127.3,27.8,Delhi
35,159.5,40.1,Mumbai
36,299.5,37.7,Delhi
37,389.9,23.5,Chandigarh
38,585.0,28.5,Delhi
39,139.6,33.8,Jaipur
40,479.7,36.3,Bangalore
41,306.1,13.9,Chandigarh
42,455.5,10.1,Pune
43,340.3,19.2,Mumbai
44,135.3,27.8,Pune
45,412.3,20.4,Jaipur
46,274.4,17.0,Mumbai
47,484.9,28.9,Jaipur
48,391.5,42.1,Chandigarh
49,563.1,10.7,Bangalore
50,205.3,18.4,Jaipur
51,124.5,43.1,Chandigarh
52,588.6,38.6,Jaipur
53,146.8,36.8,Chandigarh
54,165.9,43.1,Jaipur
55,300.0,40.5,Mumbai
56,472.7,42.5,Pune
57,242.1,17.0,Pune
58,307.8,32.7,Jaipur
59,208.9,25.8,Delhi
60,385.9,21.8,Mumbai
61,83.7,30.6,Pune
62,199.0,32.1,Delhi
63,116.8,40.1,Mumbai
64,332.4,19.7,Jaipur
65,566.5,14.6,Jaipur
66,206.4,30.2,Chandigarh
67,179.0,38.3,Delhi
68,264.2,33.1,Chandigarh
69,459.1,26.3,Pune
70,416.0,32.9,Delhi
71,256.4,24.1,Delhi
72,178.9,18.7,Chandigarh
73,175.4,14.9,Chandigarh
74,560.1,18.7,Chandigarh
75,525.1,38.3,Delhi
76,599.6,11.8,Delhi
77,561.7,43.9,Mumbai
78,332.5,15.8,Mumbai
79,549.3,40.3,Mumbai
80,592.4,23.3,Bangalore
81,488.3,42.4,Bangalore
82,577.8,24.8,Jaipur
83,333.1,33.2,Mumbai
84,583.7,20.4,Jaipur
85,111.7,35.8,Bangalore
86,383.8,12.0,Jaipur
87,356.2,42.2,Delhi
88,121.7,43.6,Mumbai
89,115.3,12.4,Mumbai
90,569.6,24.1,Jaipur
91,389.1,18.6,Jaipur
92,421.8,12.9,Jaipur
93,566.0,28.3,Mumbai
94,243.4,33.4,Bangalore
95,429.3,23.9,Bangalore
96,563.1,26.0,Delhi
97,403.0,10.3,Jaipur
98,118.1,44.9,Mumbai
99,148.9,27.7,Bangalore
100,537.2,40.8,Bangalore
101,307.9,20.0,Jaipur
102,398.1,34.6,Pune
103,427.3,28.5,Jaipur
104,425.0,20.5,Mumbai
105,542.7,19.3,Pune
106,221.6,29.4,Jaipur
107,258.3,17.4,Pune
108,217.3,32.2,Chandigarh
109,552.2,18.8,Delhi
110,300.3,13.2,Bangalore
111,253.4,11.5,Mumbai
112,216.2,32.3,Pune
113,446.9,25.5,Jaipur
114,119.1,10.3,Pune
115,363.7,41.6,Bangalore
116,157.0,30.4,Mumbai
117,269.6,11.5,Delhi
118,189.2,41.5,Mumbai
119,263.9,33.3,Jaipur
120,291.3,40.9,Jaipur
121,561.4,,Mumbai
122,587.6,40.3,Mumbai
123,92.9,40.8,Pune
124,486.8,42.4,Chandigarh
125,529.3,38.1,Mumbai
126,489.4,19.3,Delhi
127,100.1,23.4,Chandigarh
128,504.6,17.8,Chandigarh
129,506.7,22.2,Mumbai
130,423.2,17.8,Chandigarh
131,529.5,21.5,Bangalore
132,344.9,22.3,Pune
133,358.8,44.3,Delhi
134,584.6,14.0,Mumbai
135,591.4,30.3,Delhi
136,306.0,13.8,Pune
137,306.9,37.5,Jaipur
138,547.7,14.0,Mumbai
139,448.6,18.9,Delhi
140,499.4,28.2,Pune
141,465.8,35.2,Pune
142,304.3,16.9,Pune
143,404.0,42.2,Pune
144,454.3,39.7,Bangalore
145,426.8,27.7,Bangalore
146,233.7,24.1,Mumbai
147,425.8,16.7,Chandigarh
148,549.5,33.7,Jaipur
149,291.2,29.9,Delhi
150,189.3,20.6,Jaipur
151,247.6,31.2,Chandigarh
152,191.1,25.5,Chandigarh
153,579.1,37.8,Pune
154,124.1,15.9,Jaipur
155,402.0,33.2,Delhi
156,470.6,38.6,Pune
157,499.4,20.9,Mumbai
158,207.3,10.9,Chandigarh
159,479.6,31.4,Chandigarh
160,407.5,24.5,Mumbai
161,279.7,35.1,Chandigarh
162,421.2,18.5,Delhi
163,527.4,41.2,Delhi
164,193.8,37.2,Pune
165,106.1,28.1,Mumbai
166,143.1,42.1,Mumbai
167,427.1,38.0,Jaipur
168,574.0,30.8,Chandigarh
169,454.0,31.4,Jaipur
170,551.6,24.9,Chandigarh
171,466.7,41.4,Chandigarh
172,470.9,25.8,Pune
173,484.4,19.7,Chandigarh
174,222.8,31.9,Delhi
175,201.9,35.0,Bangalore
176,360.9,21.2,Mumbai
177,279.2,15.3,Mumbai
178,113.4,34.7,Chandigarh
179,322.3,21.6,Delhi
180,298.5,17.2,Jaipur
181,90.2,43.1,Jaipur
182,83.1,23.3,Bangalore
183,282.8,20.5,Chandigarh
184,462.0,28.8,Jaipur
185,333.9,41.4,Bangalore
186,95.1,25.3,Bangalore
187,495.0,33.4,Pune
188,323.0,15.8,Mumbai
189,357.7,44.3,Chandigarh
190,424.8,30.7,Delhi
191,150.6,32.5,Chandigarh
192,215.3,16.4,Bangalore
193,250.0,17.4,Chandigarh
194,574.6,19.7,Chandigarh
195,122.6,18.8,Delhi
196,107.1,36.2,Bangalore
197,115.7,17.8,Pune
198,96.1,11.4,Mumbai
199,90.6,17.0,Mumbai
200,326.3,18.3,Delhi
201,193.3,29.7,Pune
202,271.8,19.0,Jaipur
