Station_ID,City,Vehicle_Type,Charging_Time,Energy_Consumed,Cost,Charging_Type
S001,Bengaluru,SUV,22.4,56.6,484.77,Fast
S002,Chennai,Car,85.8,11.2,117.7,Normal
S003,Mumbai,Car,67.1,28.9,395.49,Normal
S004,Pune,Car,107.6,44.1,365.13,Normal
S005,Mumbai,Bike,47.0,44.8,509.0,Fast
S006,Pune,SUV,48.6,26.8,230.07,Fast
S007,Pune,Car,134.3,26.4,295.42,Normal
S008,Bengaluru,Bus,114.4,19.1,243.84,Normal
S009,Pune,SUV,35.0,41.3,415.51,Fast
S010,Hyderabad,Bike,68.8,26.9,241.82,Normal
S011,Bengaluru,SUV,110.6,43.6,369.11,Normal
S012,Chennai,Bike,37.5,41.3,527.87,Fast
S013,Delhi,Car,,32.6,272.67,Normal
S014,Pune,Bike,179.2,38.4,372.77,Normal
S015,Hyderabad,Bike,43.1,25.9,225.4,Fast
S016,Delhi,SUV,75.5,17.2,177.95,Normal
S017,Hyderabad,Car,40.1,31.1,274.35,Fast
S018,Hyderabad,Bike,178.4,33.3,342.41,Normal
S019,Mumbai,SUV,27.6,49.0,395.55,Fast
S020,Chennai,SUV,20.2,37.7,385.13,Fast
S021,Chennai,Bike,142.9,27.1,317.22,Normal
S022,Pune,Car,164.5,43.2,522.01,Normal
S023,Chennai,Bus,39.7,40.6,422.35,Fast
S024,Mumbai,Car,112.9,12.1,140.41,Normal
S025,Delhi,Car,124.4,43.1,503.51,Normal
S006,Pune,SUV,48.6,26.8,230.07,Fast
S027,Bengaluru,Bus,62.4,64.7,698.5,Fast
S028,Hyderabad,Bike,25.1,34.1,326.97,Fast
S029,Pune,SUV,84.6,43.2,439.37,Normal
S030,Pune,Car,95.8,31.8,271.76,Normal
S031,Bengaluru,Bike,102.7,16.2,182.24,Normal
S032,Chennai,Bike,133.6,37.2,466.86,Normal
S033,Mumbai,SUV,148.8,16.4,182.14,Normal
S034,Bengaluru,Car,154.8,25.5,233.63,Normal
S035,Chennai,Bike,66.9,64.4,884.21,Fast
S036,Bengaluru,Car,31.3,27.2,250.95,Fast
S037,Chennai,Car,138.4,37.6,319.93,Normal
S038,Pune,Car,153.9,35.8,389.08,Normal
S039,Mumbai,Bus,99.9,37.6,520.01,Normal
S040,Hyderabad,Bus,67.3,52.1,469.94,Fast
S041,Mumbai,Car,65.2,55.9,496.23,Fast
S042,Chennai,Bus,102.0,28.3,248.64,Normal
S043,Delhi,Car,172.0,24.1,318.85,Normal
S044,Mumbai,Car,34.6,29.3,337.5,Fast
S045,Bengaluru,Bus,67.3,35.4,,Normal
S046,Pune,Bus,165.4,12.8,114.06,Normal
S047,Chennai,Car,153.2,30.5,386.02,Normal
S048,Mumbai,SUV,51.0,23.7,198.38,Fast
S049,Pune,Bus,72.7,28.7,272.39,Normal
S050,Bengaluru,Car,120.9,28.8,361.73,Normal
S051,Delhi,Bus,68.7,46.5,427.63,Fast
S052,Bengaluru,Bus,156.9,26.8,254.22,Normal
S053,Chennai,Bike,167.1,15.5,165.62,Normal
S054,Hyderabad,Car,35.8,49.5,523.22,Fast
S055,Mumbai,Bike,167.6,13.7,168.47,Normal
S056,Pune,Bike,64.1,63.5,591.66,Fast
S057,Delhi,Bus,79.5,32.7,305.49,Normal
S058,Pune,Bus,108.5,23.6,239.3,Normal
S059,Delhi,Bike,47.7,38.7,313.8,Fast
S060,Bengaluru,Bike,67.7,44.4,565.22,Normal
S061,Delhi,Car,22.0,54.6,525.4,Fast
S062,Mumbai,Bus,141.1,43.0,448.73,Normal
S063,Chennai,Bus,70.7,10.1,122.51,Normal
S064,Hyderabad,Car,20.8,22.2,212.31,Fast
S065,Chennai,SUV,63.1,39.3,394.37,Fast
S066,Chennai,Bus,92.1,12.8,142.87,Normal
S067,Mumbai,Car,91.4,14.7,199.82,Normal
S068,Pune,Bike,84.7,24.5,294.81,
S069,Bengaluru,Bike,179.3,9.4,76.24,Normal
