Delivery_ID,Restaurant,Distance,Delivery_Time,Delivery_Partner,Rating
D001,McDonald's,1.48,45.0,Mohit,3.1
D002,McDonald's,13.86,79.0,Rahul,4.0
D003,Domino's,1.57,37.0,Mohit,3.8
D004,Domino's,11.66,79.0,Vikas,3.1
D005,Subway,16.38,10.0,Deepak,4.2
D006,Pizza Hut,6.28,37.0,Rohit,2.8
D007,Bikanervala,2.84,54.0,Karan,4.5
D008,Haldiram,11.19,58.0,Rahul,3.9
D009,Pizza Hut,11.97,18.0,Aman,4.2
D010,Subway,19.72,39.0,Rahul,3.5
D011,Haldiram,13.08,56.0,Deepak,3.4
D012,Burger King,13.73,19.0,Deepak,3.8
D013,Burger King,4.1,58.0,Karan,5.0
D014,Burger King,14.01,17.0,Mohit,4.6
D015,Pizza Hut,8.62,18.0,Mohit,4.8
D016,Pizza Hut,5.04,73.0,Vikas,4.7
D017,Haldiram,3.71,27.0,Mohit,4.4
D018,Subway,15.19,64.0,Vikas,3.4
D019,KFC,10.68,21.0,Aman,4.7
D020,KFC,12.92,64.0,Rahul,3.5
D021,Haldiram,11.05,80.0,Aman,4.2
D022,McDonald's,13.95,78.0,Karan,4.4
D023,Pizza Hut,3.12,65.0,Deepak,3.6
D024,Subway,19.47,32.0,Rahul,4.7
D025,Subway,16.99,74.0,Mohit,2.9
D026,KFC,11.25,,Aman,4.0
D027,Haldiram,1.37,56.0,Karan,3.1
D028,Burger King,17.68,20.0,Rahul,4.3
D029,McDonald's,19.58,78.0,Deepak,2.8
D030,Haldiram,18.99,31.0,Karan,3.8
D031,Bikanervala,19.32,79.0,Mohit,4.3
D032,Bikanervala,19.91,57.0,Ankit,4.7
D033,Haldiram,3.3,38.0,Rahul,3.3
D034,Burger King,12.18,10.0,Rahul,4.3
D035,Domino's,5.35,14.0,Rohit,2.7
D036,Burger King,6.29,72.0,Mohit,3.8
D037,Haldiram,5.62,70.0,Vikas,3.0
D038,McDonald's,13.52,55.0,Vikas,3.5
D039,Domino's,13.79,22.0,Aman,3.5
D040,Pizza Hut,16.21,23.0,Mohit,3.0
D041,Haldiram,3.66,33.0,Karan,3.7
D042,McDonald's,9.42,80.0,Rahul,2.6
D043,Domino's,19.41,40.0,Deepak,3.5
D044,Haldiram,5.06,61.0,Aman,2.9
D045,Domino's,19.72,43.0,Ankit,3.2
D046,Haldiram,3.94,47.0,Mohit,4.9
D047,Domino's,15.21,17.0,Aman,4.0
D048,KFC,2.08,75.0,Rahul,4.6
D049,McDonald's,12.31,40.0,Vikas,2.8
D050,Burger King,12.0,15.0,Rahul,3.5
D051,Pizza Hut,18.76,36.0,Rohit,3.1
D052,Bikanervala,3.49,48.0,Ankit,3.3
D053,McDonald's,1.18,89.0,Rahul,2.7
D054,Burger King,10.61,26.0,Rohit,4.7
D055,Burger King,8.02,30.0,Ankit,4.6
D056,Subway,12.62,77.0,Aman,4.2
D057,Subway,18.7,23.0,Deepak,3.2
D058,McDonald's,15.11,29.0,Karan,3.2
D059,Burger King,14.63,36.0,Karan,3.8
D060,Subway,18.2,16.0,Rahul,4.1
D061,Subway,1.84,52.0,Deepak,4.1
D062,Subway,4.07,66.0,Vikas,3.9
D063,McDonald's,2.43,29.0,Aman,4.6
