Animal,Species,Weight,Age,Forest
Elephant,Mammal,445.4,8,Kaziranga
Leopard,Reptile,63.3,24,Sundarbans
Elephant,Reptile,254.3,1,Jim Corbett
Deer,Mammal,304.2,1,Sundarbans
Deer,Reptile,390.6,18,Gir
Deer,Bird,354.4,1,Kaziranga
Wolf,Bird,168.2,7,Ranthambore
Elephant,Mammal,229.2,12,Ranthambore
Wild Boar,Bird,484.7,24,Gir
Rabbit,Mammal,583.9,13,Jim Corbett
Rabbit,Bird,498.0,20,Ranthambore
Wild Boar,Mammal,423.3,2,Bandipur
Deer,Bird,591.2,8,Jim Corbett
Wolf,Bird,273.1,12,Kaziranga
Fox,Bird,127.3,9,Bandipur
Elephant,Reptile,381.7,18,Bandipur
Deer,Mammal,278.4,9,Bandipur
Rabbit,Mammal,411.4,25,Jim Corbett
Deer,Mammal,483.4,13,Ranthambore
Elephant,Mammal,548.1,19,Bandipur
Fox,Mammal,,13,Bandipur
Monkey,Mammal,160.4,8,Bandipur
Rabbit,Reptile,159.1,19,Gir
Wild Boar,Bird,218.5,5,Sundarbans
Monkey,Mammal,454.0,4,Kaziranga
Leopard,Reptile,254.5,3,Gir
Wolf,Reptile,597.7,17,Ranthambore
Rabbit,Mammal,408.8,4,Bandipur
Rabbit,Bird,461.6,11,Jim Corbett
Bear,Bird,96.6,1,Bandipur
Bear,Reptile,457.7,17,Jim Corbett
Bear,Reptile,305.6,7,Kaziranga
Fox,Mammal,324.5,25,Sundarbans
Tiger,Reptile,195.8,1,Jim Corbett
Fox,Bird,145.2,8,Sundarbans
Elephant,Mammal,439.7,3,Sundarbans
Leopard,Mammal,396.5,18,Kaziranga
Bear,Reptile,523.7,14,Kaziranga
Rabbit,Reptile,414.5,23,Ranthambore
Wolf,Reptile,390.6,15,Sundarbans
Monkey,Mammal,150.2,3,Ranthambore
Tiger,Reptile,333.2,19,Kaziranga
Tiger,Mammal,425.3,2,Kaziranga
Elephant,Mammal,516.1,3,Sundarbans
Deer,Bird,402.0,7,Sundarbans
Leopard,Reptile,561.4,19,Sundarbans
Monkey,Mammal,471.2,14,Kaziranga
Elephant,Mammal,396.1,12,Gir
Wolf,Bird,518.6,2,Bandipur
Elephant,Mammal,242.8,11,Jim Corbett
Deer,Mammal,115.7,15,Kaziranga
Wolf,Mammal,168.6,8,Jim Corbett
Monkey,Reptile,60.5,21,Sundarbans
Tiger,Mammal,556.0,8,Kaziranga
Wolf,Bird,289.9,13,Jim Corbett
Leopard,Bird,3.3,13,Ranthambore
Monkey,Bird,255.0,24,Sundarbans
Monkey,Mammal,115.6,7,Jim Corbett
Wild Boar,Reptile,326.2,24,Ranthambore
Tiger,Mammal,351.3,17,Sundarbans
Leopard,Mammal,576.5,3,Kaziranga
Elephant,Reptile,42.6,8,Gir
Elephant,Reptile,149.2,20,Jim Corbett
Wild Boar,Mammal,252.7,19,Sundarbans
Rabbit,Bird,561.0,7,Bandipur
Fox,Mammal,160.8,5,Bandipur
Bear,Bird,191.1,25,Jim Corbett
Tiger,Bird,373.5,19,Jim Corbett
