Booking_ID,Hotel_Type,Stay_Days,Room_Price,Guests,City
HB001,Budget,1,10512.0,2,Mumbai
HB002,Standard,12,4858.0,6,Chandigarh
HB003,Budget,10,15325.0,1,Delhi
HB004,Budget,4,9123.0,5,Shimla
HB005,Budget,9,8015.0,6,Chandigarh
HB006,Resort,4,16219.0,5,Jaipur
HB007,Budget,13,6731.0,6,Goa
HB008,Luxury,5,6594.0,2,Jaipur
HB009,Budget,2,13949.0,1,Jaipur
HB010,Luxury,10,10167.0,1,Chandigarh
HB011,Resort,9,5590.0,4,Delhi
HB012,Luxury,14,22099.0,5,Jaipur
HB013,Standard,12,3779.0,1,Chandigarh
HB014,Standard,13,10982.0,1,Mumbai
HB015,Budget,7,10608.0,4,Chandigarh
HB016,Luxury,3,13630.0,3,Mumbai
HB017,Luxury,12,23898.0,6,Delhi
HB018,Standard,9,9521.0,2,Goa
HB019,Resort,5,22471.0,6,Shimla
HB020,Standard,11,12126.0,1,Mumbai
HB021,Budget,13,,4,Jaipur
HB022,Budget,4,20085.0,6,Jaipur
HB023,Standard,11,17858.0,4,Chandigarh
HB024,Resort,3,10179.0,2,Mumbai
HB025,Luxury,12,20655.0,4,Shimla
HB026,Resort,6,8686.0,2,Shimla
HB027,Resort,2,3043.0,1,Mumbai
HB028,Standard,13,23798.0,4,Shimla
HB029,Budget,7,14004.0,5,Goa
HB030,Luxury,9,1876.0,6,Chandigarh
HB031,Budget,11,19095.0,3,Chandigarh
HB032,Luxury,2,11117.0,4,Mumbai
HB033,Resort,1,10130.0,5,Mumbai
HB034,Budget,14,21989.0,3,Chandigarh
HB035,Standard,3,13752.0,2,Shimla
HB036,Budget,10,12121.0,4,Delhi
HB037,Budget,15,13394.0,3,Mumbai
HB038,Budget,4,20091.0,1,Delhi
HB039,Resort,14,3767.0,5,Mumbai
HB040,Standard,11,17074.0,5,Mumbai
HB041,Luxury,9,21376.0,4,Mumbai
HB042,Standard,12,11714.0,4,Chandigarh
HB043,Luxury,8,18459.0,4,Delhi
HB044,Standard,4,3598.0,3,Delhi
HB045,Standard,10,8716.0,1,Delhi
HB046,Budget,4,3708.0,1,Jaipur
HB047,Budget,9,9298.0,3,Chandigarh
HB048,Resort,4,19169.0,2,Chandigarh
HB049,Resort,4,16998.0,4,Mumbai
HB050,Budget,2,23093.0,4,Jaipur
HB051,Resort,7,16803.0,6,Delhi
HB052,Budget,1,14693.0,6,Jaipur
HB053,Budget,4,7778.0,2,Shimla
HB054,Resort,3,15324.0,2,Jaipur
HB055,Resort,4,3970.0,4,Shimla
HB056,Budget,1,22869.0,5,Delhi
HB057,Budget,15,9245.0,2,Goa
HB058,Resort,8,8504.0,4,Delhi
HB059,Standard,7,1570.0,4,Jaipur
HB060,Resort,5,15361.0,6,Chandigarh
HB061,,3,7722.0,3,Mumbai
HB062,Budget,10,19266.0,1,Chandigarh
HB063,Luxury,1,3143.0,5,Goa
HB064,Standard,1,18140.0,1,Mumbai
HB065,Budget,10,3726.0,6,Mumbai
HB066,Resort,2,20167.0,2,Shimla
HB067,Budget,10,4186.0,4,Chandigarh
HB068,Luxury,15,10044.0,2,Chandigarh
HB069,Luxury,4,10203.0,4,Mumbai
HB070,Luxury,8,11860.0,1,Delhi
HB071,Resort,10,19948.0,1,Delhi
HB072,Standard,9,10190.0,2,Jaipur
HB073,Budget,15,9504.0,3,Jaipur
HB074,Standard,8,19300.0,6,Jaipur
HB075,Budget,11,19673.0,3,Chandigarh
HB076,Budget,15,5900.0,3,Delhi
HB077,Budget,12,19628.0,2,Jaipur
HB078,Luxury,10,8401.0,6,Jaipur
HB079,Standard,11,22282.0,3,Shimla
HB080,Resort,5,3164.0,1,Chandigarh
HB081,Resort,14,10566.0,1,Delhi
HB082,Luxury,13,5786.0,6,Jaipur
HB083,Standard,12,15978.0,5,Chandigarh
HB084,Resort,9,1816.0,1,Delhi
HB085,Standard,9,2680.0,3,Shimla
HB086,Standard,7,5676.0,1,Jaipur
HB087,Luxury,15,2807.0,3,Mumbai
HB088,Standard,11,4868.0,3,Shimla
HB089,Resort,10,6564.0,2,Mumbai
HB090,Standard,15,15010.0,1,Mumbai
HB091,Luxury,13,14991.0,6,Chandigarh
HB092,Standard,5,6716.0,6,Delhi
HB093,Resort,14,2768.0,4,Mumbai
HB094,Standard,14,16583.0,3,Jaipur
HB095,Standard,4,2275.0,6,Mumbai
HB096,Resort,6,10629.0,1,Jaipur
HB097,Luxury,11,18192.0,4,Chandigarh
HB098,Luxury,1,5279.0,3,Mumbai
HB099,Luxury,1,5052.0,5,Goa
HB100,Luxury,12,11778.0,4,Shimla
HB101,Budget,7,20393.0,2,Jaipur
HB102,Budget,12,15788.0,1,Shimla
HB103,Standard,6,15632.0,1,Chandigarh
HB104,Luxury,10,11786.0,6,Delhi
HB105,Luxury,9,11634.0,6,Goa
HB106,Luxury,7,24346.0,3,Shimla
HB107,Standard,4,15277.0,6,Goa
HB108,Standard,10,20148.0,3,Goa
HB109,Budget,5,10901.0,2,Goa
HB110,Luxury,8,15976.0,4,Chandigarh
HB111,Standard,9,17005.0,6,Mumbai
HB112,Budget,5,18390.0,6,Chandigarh
HB113,Luxury,2,9196.0,6,Jaipur
HB114,Standard,13,8025.0,2,Delhi
HB115,Budget,4,17069.0,5,Delhi
HB116,Resort,7,22136.0,5,Mumbai
HB117,Resort,8,14595.0,2,Mumbai
HB118,Budget,15,4992.0,4,Mumbai
HB119,Standard,13,24303.0,5,Goa
HB120,Budget,9,9665.0,1,Goa
