House_ID,City,Area,Bedrooms,Price,Age_of_House
H001,Delhi,1150,5,2525459.0,4
H002,Mumbai,2629,4,1813535.0,30
H003,Chandigarh,984,4,2206824.0,1
H004,Mumbai,3088,1,289827.0,28
H005,Delhi,3021,1,194595.0,20
H006,Chandigarh,704,6,2114132.0,34
H007,Pune,3411,2,599771.0,27
H008,Mumbai,1508,4,1840675.0,31
H009,Bangalore,2015,2,1143729.0,14
H010,Mumbai,688,4,1187417.0,35
H011,Bangalore,3177,6,,18
H012,Pune,3555,6,2929211.0,32
H013,Bangalore,3999,6,3257984.0,12
H014,Pune,3006,4,1833181.0,32
H015,Chandigarh,741,4,1912846.0,15
H016,Bangalore,3322,2,1214097.0,23
H017,Mumbai,954,4,1287654.0,32
H018,Delhi,2733,4,2081440.0,23
H019,Mumbai,2522,1,535359.0,19
H020,Mumbai,1290,5,2087699.0,14
H021,Pune,2810,5,2681301.0,14
H022,Bangalore,2008,5,2482394.0,22
H023,Chandigarh,3300,5,1841986.0,38
H024,Pune,3809,6,2652607.0,32
H025,Delhi,3784,5,2840868.0,13
H026,Mumbai,2570,3,1369731.0,36
H027,Chandigarh,2667,4,1774161.0,31
H028,Pune,2017,1,328385.0,34
H029,Pune,3821,5,2718921.0,21
H030,Pune,714,2,171499.0,40
H031,Bangalore,2993,2,1536955.0,5
H032,Delhi,732,6,2795117.0,4
H033,Bangalore,2455,1,416281.0,17
H034,Bangalore,1048,5,2466913.0,11
H035,Pune,884,2,873693.0,10
H036,Chandigarh,1288,6,2823358.0,17
H037,Delhi,3477,3,1494024.0,31
H038,Chandigarh,696,3,1163540.0,24
H039,Bangalore,3861,2,957364.0,16
H040,Delhi,3590,5,2823423.0,13
H041,Delhi,1523,1,36336.0,25
H042,Chandigarh,3544,2,1096183.0,28
H043,Chandigarh,2831,2,781413.0,40
H044,Pune,1514,5,2775760.0,1
H045,Delhi,3890,3,1313807.0,40
H046,Delhi,3620,3,1696836.0,8
H047,Bangalore,1854,1,667919.0,4
H048,Bangalore,3646,2,1209903.0,26
H049,Pune,1134,1,-324162.0,35
H050,Mumbai,3956,2,937958.0,36
H051,,3991,6,2932512.0,39
H052,Mumbai,2148,2,621595.0,22
H053,Chandigarh,2948,6,2717308.0,27
H054,Pune,1027,6,2653694.0,24
H055,Bangalore,2647,1,539508.0,20
H056,Pune,674,2,884541.0,12
H057,Mumbai,3805,2,1186691.0,21
H058,Pune,1691,6,3180575.0,6
H059,Pune,2008,6,2768993.0,34
H060,Mumbai,1561,1,436113.0,2
H061,Bangalore,1295,2,398713.0,34
H062,Bangalore,3709,3,1415542.0,38
H063,Bangalore,2107,3,1152286.0,21
H064,Pune,1563,5,1909480.0,31
H065,Chandigarh,2857,1,183878.0,20
H066,Bangalore,899,4,1758970.0,9
H067,Delhi,1069,5,1984683.0,37
H068,Delhi,2937,5,2865898.0,14
H069,Pune,1692,3,1634905.0,18
H070,Delhi,1068,4,1601123.0,17
H006,Chandigarh,704,6,2114132.0,34
H072,Mumbai,2293,1,632210.0,2
H073,Delhi,3817,5,2307930.0,26
H074,Delhi,2446,2,860185.0,15
H075,Pune,2382,4,1614146.0,34
H076,Delhi,1637,6,2626174.0,30
H077,Delhi,1450,6,2515544.0,20
H078,Chandigarh,643,3,852967.0,38
H079,Delhi,2202,3,1030263.0,25
H080,Bangalore,1899,5,1964651.0,29
H081,Bangalore,1481,5,2189418.0,34
H082,Bangalore,1661,2,437252.0,34
H083,Bangalore,1415,2,495121.0,23
H084,Mumbai,966,4,2071265.0,5
H085,Mumbai,2199,3,1767017.0,2
H086,Bangalore,1897,5,2305430.0,19
H087,Mumbai,1013,5,1638075.0,39
H088,Delhi,1501,1,501410.0,15
H089,Delhi,1697,5,2402419.0,4
H090,Chandigarh,3202,1,600879.0,18
H091,Bangalore,2520,2,1408187.0,6
H092,Mumbai,915,5,2278089.0,11
H093,Pune,1179,3,1073549.0,19
H094,Mumbai,3065,3,1624583.0,8
H095,Pune,2834,6,3331502.0,2
H096,Mumbai,3892,6,2682453.0,35
H097,Delhi,1824,4,1404446.0,34
H098,Delhi,3527,6,3088096.0,15
H099,Bangalore,3393,4,2143111.0,27
H100,Delhi,2817,4,1833369.0,34
H101,Chandigarh,2220,3,1536900.0,10
H102,Delhi,699,6,2862201.0,26
H103,Pune,855,6,2507601.0,22
H104,Chandigarh,1112,2,803805.0,16
H105,Mumbai,2910,4,1922782.0,11
H106,Bangalore,2590,1,845183.0,11
H107,Mumbai,2651,6,2694815.0,28
H108,Chandigarh,1881,4,1561714.0,30
H109,Mumbai,1980,5,1946194.0,39
H110,Mumbai,797,1,42239.0,32
H111,Bangalore,2695,2,956628.0,19
H112,Pune,2862,3,1830795.0,10
H113,Pune,948,1,92676.0,38
H114,Chandigarh,2145,2,1040168.0,9
H115,Chandigarh,1491,5,2837992.0,3
H116,Pune,3537,6,3087068.0,22
H117,Delhi,1275,5,2862636.0,2
H118,Bangalore,3909,3,975034.0,40
H119,Chandigarh,3618,1,560151.0,8
H120,Mumbai,1587,4,1766976.0,27
H121,Mumbai,1933,4,2283629.0,8
H122,Chandigarh,1088,4,1630556.0,38
H123,Mumbai,1083,6,2761120.0,18
H124,Mumbai,2151,6,2262323.0,35
H125,Delhi,2764,4,1313736.0,37
H126,Mumbai,3170,5,2553445.0,15
H127,Mumbai,1308,3,1745644.0,9
H128,Chandigarh,1719,3,929349.0,37
H129,Chandigarh,3840,2,855094.0,34
H130,Chandigarh,2320,1,816659.0,13
H131,Delhi,1438,3,1277883.0,6
H132,Bangalore,2931,6,3623494.0,0
H133,Pune,3360,6,3022035.0,8
H134,Pune,2130,5,2534005.0,19
H135,Delhi,3374,3,1284291.0,33
H136,Bangalore,1107,4,1640064.0,28
H137,Chandigarh,2808,4,2216132.0,21
H138,Mumbai,1063,6,2748520.0,24
H139,Mumbai,2881,1,741500.0,17
H140,Bangalore,2490,5,2267631.0,33
H141,Mumbai,3479,2,1114227.0,28
H142,Pune,2072,5,2856706.0,0
H143,Chandigarh,2344,4,1632316.0,21
H144,Delhi,3654,2,643496.0,40
H145,Chandigarh,2267,6,2335706.0,40
H146,Pune,3805,3,1513578.0,11
H147,Pune,641,3,1388031.0,16
H148,Chandigarh,1843,2,613109.0,29
H149,Bangalore,1294,4,1262872.0,32
H150,Delhi,2690,1,225925.0,37
