brand,name,spec_rating,processor,CPU,Ram,Ram_type,SSD_GB,Price
MSI,MSI Model-1000,74,i3,i3,8,LPDDR4X,256,28643
MSI,MSI Model-1001,87,i3,i3,32,DDR4,1024,63010
HP,HP Model-1002,98,i3,i3,8,DDR5,1024,40717
Acer,Acer Model-1003,88,i5,i5,32,LPDDR5,256,64827
Lenovo,Lenovo Model-1004,77,i3,i3,8,LPDDR5,512,30023
Dell,Dell Model-1005,66,i7,i7,8,DDR4,512,59440
Apple,Apple Model-1006,89,i7,i7,32,LPDDR4X,256,118642
HP,HP Model-1007,99,Ryzen 5,Ryzen 5,8,LPDDR4X,1024,57712
Acer,Acer Model-1008,74,i5,i5,32,DDR4,256,58870
HP,HP Model-1009,89,i5,i5,8,LPDDR5,512,51457
Apple,Apple Model-1010,73,i7,i7,8,LPDDR4X,512,100740
Lenovo,Lenovo Model-1011,70,M2,M2,32,DDR4,1024,108375
MSI,MSI Model-1012,77,i5,i5,8,LPDDR5,512,53492
MSI,MSI Model-1013,74,Ryzen 7,Ryzen 7,8,LPDDR4X,256,55762
Apple,Apple Model-1014,73,i7,i7,16,LPDDR4X,256,102896
MSI,MSI Model-1015,89,i7,i7,8,LPDDR5,512,67420
Lenovo,Lenovo Model-1016,97,i5,i5,8,LPDDR4X,1024,59259
Acer,Acer Model-1017,92,Ryzen 5,Ryzen 5,16,DDR5,256,52042
HP,HP Model-1018,70,i3,i3,8,DDR5,1024,39074
Asus,Asus Model-1019,98,Ryzen 7,Ryzen 7,8,LPDDR5,512,66834
Acer,Acer Model-1020,67,i7,i7,32,DDR4,1024,87334
Acer,Acer Model-1021,78,i7,i7,32,LPDDR4X,256,76061
Dell,Dell Model-1022,71,Ryzen 5,Ryzen 5,8,LPDDR4X,1024,52908
HP,HP Model-1023,83,M2,M2,16,DDR5,256,84073
Acer,Acer Model-1024,61,Ryzen 7,Ryzen 7,8,LPDDR4X,512,52166
Lenovo,Lenovo Model-1025,96,i7,i7,8,DDR4,256,59145
HP,HP Model-1026,68,M2,M2,16,DDR4,1024,92051
MSI,MSI Model-1027,93,Ryzen 5,Ryzen 5,32,DDR5,512,76219
Asus,Asus Model-1028,79,i5,i5,32,DDR5,1024,75518
MSI,MSI Model-1029,88,M2,M2,16,LPDDR5,1024,101991
Dell,Dell Model-1030,97,i5,i5,8,LPDDR4X,256,48787
Dell,Dell Model-1031,63,Ryzen 7,Ryzen 7,8,DDR4,256,50625
HP,HP Model-1032,75,i3,i3,16,DDR4,1024,45031
MSI,MSI Model-1033,96,Ryzen 5,Ryzen 5,8,DDR5,1024,63720
Asus,Asus Model-1034,66,i5,i5,16,LPDDR5,256,45794
MSI,MSI Model-1035,89,Ryzen 5,Ryzen 5,16,LPDDR5,512,64222
HP,HP Model-1036,85,M2,M2,32,DDR4,256,101215
Lenovo,Lenovo Model-1037,94,i3,i3,8,DDR5,256,31675
Dell,Dell Model-1038,75,Ryzen 5,Ryzen 5,8,LPDDR4X,512,43367
Asus,Asus Model-1039,94,Ryzen 7,Ryzen 7,8,DDR4,1024,69120
HP,HP Model-1040,90,i5,i5,8,LPDDR5,512,48251
Apple,Apple Model-1041,60,Ryzen 5,Ryzen 5,8,DDR5,512,79198
Lenovo,Lenovo Model-1042,95,Ryzen 5,Ryzen 5,16,LPDDR5,1024,67672
MSI,MSI Model-1043,73,Ryzen 5,Ryzen 5,8,DDR5,512,46729
Acer,Acer Model-1044,80,M2,M2,32,DDR4,1024,105468
HP,HP Model-1045,92,Ryzen 7,Ryzen 7,16,DDR5,256,63656
