Reading_ID,Temperature,Pressure,Battery_Level,Terrain_Type,Signal_Strength
R001,-16.47,558.75,38.38,Sandy,48.37
R002,-78.21,809.23,61.36,Flat,65.32
R003,-86.57,626.52,57.96,Rocky,73.67
R004,-7.66,795.46,50.66,Mountain,75.36
R005,3.08,552.27,83.49,Dusty,65.36
R006,-58.04,625.36,79.9,Rocky,45.56
R007,-78.88,846.62,66.32,Rocky,83.78
R008,-28.33,890.59,47.18,Flat,57.59
R009,-17.71,859.91,45.74,Sandy,82.27
R010,-84.73,629.76,39.6,Rocky,91.32
R011,9.65,683.04,53.54,Crater,49.76
R012,-49.14,784.56,74.65,Dusty,78.88
R013,-19.95,609.9,76.98,Sandy,67.74
R014,-58.96,873.89,73.49,Sandy,81.08
R015,6.93,821.6,34.47,Rocky,88.3
R016,-43.87,573.17,92.62,Flat,92.58
R017,-53.81,779.4,48.63,Dusty,67.53
R018,-59.54,636.32,62.72,Crater,84.82
R019,-40.73,754.24,45.77,Sandy,70.57
R020,-79.55,566.49,24.32,Dusty,49.6
R021,,758.74,47.71,Flat,99.77
R022,-29.15,889.88,88.17,Rocky,80.82
R023,-76.83,859.68,78.82,Dusty,60.41
R024,-56.25,605.36,15.28,Dusty,92.55
R025,-59.71,725.21,30.19,Rocky,92.23
R026,-55.68,773.63,66.76,Sandy,62.43
R027,-71.42,883.72,93.41,Rocky,75.94
R028,-33.81,589.15,45.85,Crater,54.37
R029,-62.3,748.57,21.69,Dusty,69.16
R030,-82.04,816.21,80.1,Sandy,79.59
R031,18.89,607.79,59.85,Flat,65.39
R032,-65.64,738.75,77.04,Sandy,82.78
R033,-44.12,785.09,46.74,Flat,67.09
R034,-61.49,572.41,16.79,Flat,53.81
R035,-64.68,574.85,68.64,Sandy,44.04
R036,-86.39,665.65,58.7,Crater,80.14
R037,-65.36,596.31,94.52,Flat,74.57
R038,-62.06,715.54,49.6,Rocky,45.82
R039,-40.43,698.25,54.7,Dusty,43.25
R040,-14.85,776.16,20.15,Dusty,60.36
R041,9.09,637.03,31.17,Mountain,48.41
R042,-68.9,711.92,89.33,Rocky,66.59
R043,9.06,742.61,19.3,Flat,90.16
R044,21.43,874.23,87.14,Sandy,64.38
R045,-34.64,852.63,91.71,Sandy,62.74
R046,23.31,642.82,81.65,Mountain,57.11
R047,-9.89,805.68,81.59,Dusty,83.1
R048,-72.2,653.85,97.34,Flat,84.14
R049,-82.99,659.76,19.26,Mountain,70.17
R050,8.06,605.1,96.67,Rocky,91.08
R051,-82.12,573.79,88.25,Mountain,47.19
R052,12.38,636.18,65.53,Flat,44.92
R053,-14.4,747.83,41.89,Crater,52.26
R054,-7.64,633.54,48.64,Dusty,78.73
R055,-37.42,875.16,94.54,Rocky,67.5
R056,24.82,898.63,21.23,Sandy,70.35
R057,-74.77,672.15,20.85,Sandy,62.17
R058,-71.86,841.81,74.8,Flat,99.03
R059,2.82,735.13,71.77,Flat,57.96
R060,-13.71,878.63,26.41,Rocky,93.38
R061,-4.62,604.41,38.95,Sandy,83.06
R062,-66.59,771.98,37.44,Mountain,55.07
R063,14.44,567.78,68.91,Crater,42.65
R064,-51.64,595.79,98.28,Sandy,84.47
R065,-26.56,699.69,15.82,Rocky,96.7
R066,-10.53,602.17,18.06,Crater,74.95
R067,-72.97,594.61,41.2,Rocky,93.94
R068,-65.84,637.34,23.74,Flat,93.05
R069,-43.27,767.23,28.14,Sandy,91.88
R070,22.26,833.77,89.92,Rocky,50.76
R071,16.32,823.84,50.0,Dusty,91.84
R072,3.24,643.38,81.93,Rocky,62.95
R073,-85.55,714.74,31.96,Mountain,60.98
R074,4.36,854.96,33.95,Dusty,51.59
R075,-52.25,852.52,97.19,Crater,61.07
R076,-31.42,787.83,86.71,Crater,96.35
R077,-76.74,889.64,30.18,Crater,42.3
R078,-21.39,670.99,81.85,Mountain,76.37
R079,-31.19,684.82,64.01,Crater,42.66
R080,-39.85,731.97,83.55,Dusty,83.17
R081,-4.68,784.72,45.96,Rocky,96.93
R082,15.89,768.1,71.39,Rocky,83.19
R083,-55.46,658.25,49.71,Mountain,81.83
R084,-26.24,617.14,71.52,Mountain,80.64
R085,13.82,765.43,40.58,Flat,90.02
R086,-55.05,623.56,81.79,Flat,79.28
R087,-36.53,704.76,33.16,Mountain,87.62
R088,20.38,807.59,71.0,Crater,70.93
R089,-17.21,667.32,84.57,Sandy,80.37
R090,-64.17,619.7,17.08,Sandy,99.04
R091,-19.7,818.97,53.71,Dusty,74.54
R092,-7.39,684.39,48.97,Sandy,79.36
R093,-89.36,812.84,80.45,Rocky,86.71
R094,-64.83,831.44,74.15,Mountain,43.01
R095,-61.34,846.92,53.8,Mountain,80.05
R096,23.61,758.41,95.75,Mountain,76.76
R097,-7.28,726.67,85.6,Flat,66.75
R098,-71.7,851.52,53.26,Sandy,90.39
R099,-58.11,822.19,56.19,Sandy,56.48
R100,-81.09,650.0,38.1,Crater,93.58
R101,-80.73,,47.56,Sandy,82.39
R102,-82.61,692.66,61.12,Mountain,43.74
R103,5.78,686.32,80.43,Dusty,41.17
R104,11.28,751.49,55.54,Crater,57.92
R105,-45.15,862.07,86.04,Flat,84.85
R106,-27.19,761.14,33.75,Sandy,56.38
R107,-34.15,686.1,71.85,Mountain,83.45
R108,6.66,871.84,98.36,Flat,41.62
R109,-44.69,747.54,17.3,Dusty,65.72
R110,9.69,613.61,37.11,Crater,52.7
R111,-52.41,816.43,47.23,Mountain,55.14
R112,-80.58,556.78,60.85,Crater,53.45
R113,-82.11,885.05,18.42,Rocky,96.98
R114,-67.07,557.13,27.95,Sandy,68.41
R115,-76.85,881.71,54.53,Crater,86.01
R116,-70.7,762.54,78.57,Rocky,86.67
R117,-71.17,658.86,64.19,Crater,74.55
R118,14.42,681.36,95.03,Sandy,44.56
R119,-10.58,769.53,23.66,Crater,91.02
R120,-20.95,592.37,98.63,Rocky,60.83
R121,-40.74,679.7,58.01,Crater,40.76
R122,-41.69,721.57,51.85,Crater,78.14
R123,5.3,797.56,52.02,Dusty,71.3
R124,-15.2,765.57,93.17,Mountain,67.89
R125,4.96,757.37,42.4,Sandy,89.84
R126,-80.03,858.57,35.73,Mountain,74.19
R127,-13.16,667.74,57.02,Crater,50.91
R128,-65.61,829.24,43.93,Flat,82.07
R129,-58.23,553.55,95.59,Rocky,54.48
R130,-43.26,744.31,35.43,Mountain,78.75
R131,-33.56,827.53,22.91,Sandy,64.26
R132,-62.02,782.39,46.37,Flat,71.86
R133,-41.07,811.08,43.12,Dusty,67.22
R134,-54.74,630.69,76.31,Crater,47.17
R135,-28.38,816.77,30.74,Sandy,84.32
R136,-58.2,756.36,79.62,Flat,56.98
R137,-78.44,617.94,34.34,Sandy,58.14
R138,-8.58,594.3,18.87,Rocky,73.2
R139,-9.8,594.2,88.82,Mountain,46.16
R140,-88.59,649.52,55.69,Crater,51.06
R141,-84.09,879.37,55.61,Rocky,64.04
R142,-81.48,770.31,19.56,Sandy,88.67
R143,19.15,579.81,36.1,Flat,85.87
R144,-20.27,826.76,34.18,Flat,62.82
R145,14.48,654.07,65.02,Mountain,58.32
R146,-18.58,763.37,77.91,Sandy,77.53
R147,-59.57,578.42,35.39,Flat,44.5
R148,-89.69,707.68,65.47,Crater,41.96
R149,-56.87,648.95,88.07,Rocky,81.24
R150,16.25,825.74,68.13,Dusty,88.23
R151,-67.25,590.17,34.11,Sandy,94.5
R152,5.06,574.99,29.1,Crater,75.7
R153,4.79,872.42,52.33,Mountain,81.32
R154,-9.53,879.94,57.54,Mountain,66.27
R155,-21.23,861.3,77.44,Flat,55.02
R156,-79.5,886.67,86.06,Flat,75.23
R157,-87.61,817.67,84.82,Flat,42.41
R158,-3.03,714.68,70.38,Crater,50.89
R159,-22.69,772.17,56.8,Rocky,68.2
R160,-43.04,662.37,23.89,Sandy,59.79
R161,-10.23,650.88,95.34,Flat,42.2
R162,-79.87,638.34,24.85,Mountain,91.89
R163,4.87,550.4,88.9,Mountain,64.79
R164,-68.43,676.62,79.3,Dusty,66.52
R165,-84.06,643.47,26.14,Crater,66.29
R166,-9.7,592.5,97.72,Flat,87.96
R167,-8.37,658.76,16.16,Mountain,45.59
R168,24.11,869.53,54.22,Rocky,78.86
R169,-72.29,876.43,39.81,Dusty,56.41
R170,5.99,893.09,35.72,Flat,48.68
R171,-68.08,759.78,78.43,Sandy,91.84
R172,-58.23,826.5,50.27,Flat,56.03
R173,-89.7,804.12,86.19,Flat,99.93
R174,-33.69,602.01,60.78,Crater,59.95
R175,-2.27,682.02,94.29,Sandy,98.85
R176,-62.54,684.04,87.76,Mountain,42.62
R177,-4.36,796.83,83.97,Mountain,99.3
