User_ID,Daily_Screen_Time,Number_of_Apps,Age,Subscription_Type,City
U001,11.5,118,19,Free,Pune
U002,10.2,104,58,Premium,Pune
U003,7.7,87,18,Basic,Mumbai
U004,12.0,91,41,Premium,Chandigarh
U005,11.4,79,44,Basic,Delhi
U006,10.6,56,45,Premium,Bangalore
U007,5.7,77,26,Basic,Mumbai
U008,3.5,32,36,Free,Chandigarh
U009,6.6,75,59,Basic,Bangalore
U010,9.8,104,49,Premium,Pune
U011,9.7,55,39,Premium,Bangalore
U012,2.8,106,41,Basic,Bangalore
U013,8.2,41,47,Free,Bangalore
U014,6.5,116,38,Basic,Bangalore
U015,10.9,69,38,Basic,Chandigarh
U016,9.0,72,58,Free,Pune
U017,10.0,116,26,Premium,Chandigarh
U018,3.9,71,35,Free,Chandigarh
U019,7.2,74,57,Basic,Bangalore
U020,4.4,36,47,Basic,Chandigarh
U021,,110,37,Basic,Mumbai
U022,12.0,23,19,Basic,Delhi
U023,4.0,39,59,Premium,Delhi
U024,9.3,27,33,Free,Mumbai
U025,11.4,17,43,Premium,Delhi
U026,1.6,56,27,Free,Delhi
U027,1.9,18,17,Free,Delhi
U028,5.1,26,26,Basic,Chandigarh
U029,8.6,59,53,Free,Mumbai
U030,2.7,14,16,Free,Chandigarh
U031,7.9,105,23,Free,Bangalore
U032,1.3,67,51,Premium,Delhi
U033,10.9,106,41,Premium,Mumbai
U034,6.2,38,21,Basic,Pune
U035,10.2,13,44,Premium,Mumbai
U036,6.7,109,41,Basic,Pune
U037,2.6,53,32,Free,Bangalore
U038,8.2,99,51,Premium,Delhi
U039,3.8,26,26,Free,Bangalore
U040,8.0,75,61,Premium,Mumbai
U041,3.6,66,20,Free,Chandigarh
U042,3.5,111,55,Basic,Pune
U043,8.5,45,49,Premium,Mumbai
U044,1.4,62,26,Free,Delhi
U045,3.6,22,17,Free,Mumbai
U046,2.2,13,49,Basic,Bangalore
U047,4.4,92,40,Free,Mumbai
U048,9.0,65,43,Basic,Chandigarh
U049,7.5,63,49,Basic,Delhi
U050,8.3,71,39,Free,Delhi
U051,7.7,47,60,Premium,Pune
U052,4.4,97,42,Free,Pune
U053,3.2,109,59,Premium,Bangalore
U054,1.7,91,47,Basic,Chandigarh
U055,7.7,10,34,Free,Pune
U056,11.3,19,30,,Mumbai
U057,2.3,57,41,Basic,Mumbai
U058,9.3,60,23,Free,Delhi
U059,1.9,118,37,Basic,Mumbai
U060,8.6,13,55,Basic,Delhi
U061,9.0,73,34,Free,Bangalore
U062,2.6,57,33,Basic,Bangalore
U063,8.9,103,42,Premium,Pune
U064,5.3,30,47,Basic,Chandigarh
U065,5.7,96,60,Premium,Chandigarh
U066,9.0,83,22,Free,Mumbai
U067,12.0,28,42,Premium,Delhi
U068,11.0,97,57,Free,Pune
U069,5.3,100,58,Premium,Pune
U070,5.8,77,34,Free,Chandigarh
U071,11.9,106,43,Free,Chandigarh
U072,3.7,75,32,Free,Mumbai
U073,6.1,100,31,Basic,Pune
U074,9.6,83,62,Free,Bangalore
U075,8.9,113,54,Free,Mumbai
U076,5.3,16,46,Free,Pune
U077,8.8,62,61,Basic,Pune
U078,11.6,52,61,Basic,Delhi
U079,9.4,119,62,Free,Chandigarh
U080,3.1,114,58,Free,Delhi
U081,4.4,77,61,Premium,Bangalore
U082,8.2,114,22,Free,Mumbai
U083,9.0,87,40,Premium,Delhi
U084,5.3,81,65,Premium,Pune
U085,9.2,85,53,Free,Chandigarh
U086,2.5,88,59,Basic,Pune
U087,6.6,32,45,Basic,Delhi
U088,4.9,72,50,Premium,Delhi
U089,9.3,72,59,Premium,Bangalore
U090,3.9,74,45,Free,Delhi
U091,7.7,54,27,Premium,Bangalore
U092,3.8,90,62,Free,Mumbai
U093,6.5,69,59,Free,Delhi
U094,4.1,69,16,Free,Chandigarh
U095,10.4,82,44,Free,Pune
U096,6.5,27,46,Basic,Pune
U097,1.8,115,36,Free,Pune
U098,8.2,60,49,Premium,Delhi
U099,6.6,36,41,Basic,Mumbai
U100,9.8,90,21,Free,Mumbai
U011,9.7,55,39,Premium,Bangalore
U102,11.5,24,59,Premium,Bangalore
U103,10.4,37,36,Free,Pune
U104,6.0,31,47,Basic,Pune
U105,6.1,27,61,Basic,Mumbai
U106,11.2,51,26,Free,Mumbai
U107,6.2,106,59,Premium,Mumbai
U108,4.9,111,24,Free,Chandigarh
U109,8.0,61,63,Free,Chandigarh
U110,6.5,98,62,Premium,Bangalore
U111,9.3,100,56,Premium,Pune
U112,6.9,91,58,Free,Pune
U113,5.3,32,32,Premium,Pune
U114,5.8,21,27,Free,Bangalore
U115,2.4,13,22,Free,Pune
U116,1.8,103,64,Basic,Delhi
U117,7.0,40,54,Free,Pune
U118,6.2,29,39,Free,Bangalore
U119,2.0,28,29,Free,Mumbai
U120,5.6,42,21,Free,Mumbai
U121,8.8,103,55,Free,Pune
U122,8.1,88,19,Premium,Mumbai
U123,10.4,65,44,Premium,Mumbai
U124,4.5,83,23,Free,Chandigarh
U125,11.5,39,19,Free,Bangalore
U126,6.4,50,50,Premium,Chandigarh
U127,2.0,75,50,Basic,Bangalore
U128,11.9,117,60,Basic,Bangalore
U129,5.2,67,18,Premium,Bangalore
U130,11.9,26,23,Premium,Chandigarh
U131,11.1,19,41,Free,Delhi
U132,3.8,95,38,Free,Delhi
U133,2.6,95,21,Free,Bangalore
U134,1.5,70,31,Free,Mumbai
U135,7.1,27,60,Basic,Delhi
U136,1.5,79,16,Premium,Chandigarh
U137,4.7,77,31,Free,Bangalore
U138,1.0,79,23,Free,Bangalore
U139,3.3,16,55,Free,Bangalore
U140,4.7,92,41,Premium,Chandigarh
U141,6.6,96,26,Basic,Mumbai
U142,7.9,36,27,Free,Pune
U143,4.7,28,43,Free,Pune
U144,9.8,113,22,Basic,Bangalore
U145,4.0,77,64,Basic,Pune
U146,3.5,99,24,Basic,Delhi
U147,1.3,80,64,Free,Mumbai
U148,5.3,15,57,Free,Delhi
U149,9.2,99,62,Basic,Delhi
U150,9.1,120,30,Premium,Chandigarh
U151,4.4,98,28,Premium,Mumbai
U152,8.0,79,27,Premium,Delhi
U153,11.8,69,56,Free,Mumbai
U154,2.7,51,60,Premium,Chandigarh
U155,7.3,62,42,Basic,Delhi
U156,6.0,94,23,Basic,Pune
U157,11.4,12,29,Basic,Pune
U158,6.9,60,53,Basic,Mumbai
U159,5.7,26,60,Free,Bangalore
U160,10.6,54,40,Basic,Pune
U161,7.8,84,46,Basic,Bangalore
U162,10.4,53,35,Free,Pune
U163,7.7,120,46,Free,Chandigarh
U164,8.2,83,24,Basic,Pune
U165,10.6,78,35,Free,Delhi
U166,3.2,50,19,Free,Pune
U167,9.7,95,37,Premium,Delhi
U168,5.6,116,61,Free,Chandigarh
U169,7.3,37,25,Free,Bangalore
U170,8.9,91,53,Basic,Pune
U171,8.1,73,46,Premium,Mumbai
U172,2.7,48,30,Free,Pune
U173,7.5,99,41,Basic,Mumbai
U174,8.1,81,19,Free,Mumbai
U175,2.5,89,62,Free,Bangalore
U176,2.3,68,41,Free,Bangalore
U177,4.1,40,30,Free,Chandigarh
U178,10.0,21,54,Premium,Delhi
U179,1.6,100,43,Basic,Chandigarh
U180,4.0,56,48,Free,Bangalore
U181,7.4,100,45,Basic,Mumbai
U182,4.1,13,46,Free,Mumbai
U183,3.3,40,50,Free,Mumbai
U184,8.1,107,22,Basic,Chandigarh
U185,2.0,95,24,Basic,Mumbai
U186,1.4,75,58,Free,Delhi
U187,11.4,55,64,Free,Delhi
U188,7.7,23,54,Premium,Pune
U189,9.7,91,33,Premium,Pune
U190,6.6,29,17,Free,Bangalore
U191,10.2,11,38,Basic,Chandigarh
U192,8.9,120,58,Free,Chandigarh
U193,6.6,108,43,Basic,Mumbai
U194,9.7,30,55,Free,Chandigarh
U195,9.4,102,38,Basic,Pune
