Booking_ID,Movie,Seat_Type,Ticket_Price,Number_of_Tickets,Booking_Day
B001,Jawan,Silver,713.0,4,Tuesday
B002,Animal,Silver,328.0,7,Monday
B003,War 2,Silver,597.0,4,Friday
B004,War 2,Gold,1009.0,4,Thursday
B005,Pushpa,Silver,476.0,7,Wednesday
B006,Pushpa,Gold,590.0,6,Monday
B007,Jawan,VIP,348.0,6,Sunday
B008,Avatar,Platinum,238.0,8,Friday
B009,Jawan,VIP,311.0,5,Sunday
B010,Avatar,Gold,292.0,1,Saturday
B011,KGF 2,Platinum,313.0,4,Sunday
B012,Jawan,VIP,719.0,8,Saturday
B013,Avatar,Gold,908.0,6,Tuesday
B014,Pushpa,Silver,500.0,4,Tuesday
B015,Dune 2,VIP,702.0,4,Saturday
B016,Avatar,Silver,619.0,1,Sunday
B017,Avatar,VIP,698.0,2,Tuesday
B018,Avatar,Gold,1172.0,7,Saturday
B019,Dune 2,Gold,692.0,3,Tuesday
B020,Pushpa,VIP,967.0,6,Tuesday
B021,Animal,VIP,336.0,1,Sunday
B022,Jawan,Gold,477.0,7,Friday
B023,Jawan,VIP,931.0,8,Friday
B024,Pushpa,Silver,384.0,5,Sunday
B025,Avatar,Silver,751.0,7,Tuesday
B026,Dune 2,Silver,689.0,3,Friday
B027,Jawan,Platinum,1189.0,4,Tuesday
B028,Avatar,Gold,151.0,6,Thursday
B029,War 2,Silver,893.0,5,Tuesday
B030,War 2,Gold,311.0,2,Saturday
B031,Dune 2,Silver,,3,Saturday
B032,Dune 2,Gold,692.0,7,Tuesday
B033,KGF 2,Platinum,967.0,6,Thursday
B034,Dune 2,Silver,657.0,4,Monday
B035,Avatar,Silver,621.0,4,Monday
B036,Jawan,Silver,618.0,2,Monday
B037,Avatar,Silver,637.0,5,Saturday
B038,Dune 2,Gold,420.0,8,Tuesday
B039,Dune 2,VIP,539.0,2,Monday
B040,Mission Impossible,Platinum,1017.0,7,Thursday
B041,War 2,Silver,274.0,7,Saturday
B042,Avatar,Silver,659.0,4,Tuesday
B043,Dune 2,Gold,1014.0,3,Wednesday
B044,Dune 2,Gold,304.0,8,Sunday
B045,Jawan,Silver,180.0,2,Sunday
B046,KGF 2,Gold,982.0,8,Thursday
B047,KGF 2,VIP,270.0,3,Thursday
B048,War 2,VIP,693.0,8,Wednesday
B049,Mission Impossible,VIP,467.0,4,Wednesday
B050,KGF 2,Silver,274.0,6,Monday
B051,War 2,VIP,1179.0,3,Monday
B052,Jawan,Gold,290.0,2,Saturday
B053,KGF 2,VIP,395.0,4,Friday
B054,War 2,Silver,1008.0,6,Wednesday
B055,KGF 2,Platinum,638.0,5,Thursday
B056,Animal,Platinum,1086.0,6,Sunday
B057,Jawan,Silver,1088.0,2,Monday
B058,KGF 2,Platinum,421.0,6,Monday
B059,KGF 2,Platinum,733.0,3,Thursday
