Song,Artist,Genre,Duration,Streams,Release_Year
Song_1,Taylor Swift,Pop,309.0,2317113.0,2018
Song_2,Shreya Ghoshal,Rock,308.0,869791.0,2025
Song_3,Taylor Swift,Punjabi,228.0,276612.0,2015
Song_4,Taylor Swift,Rock,179.0,4249227.0,2024
Song_5,Arijit Singh,Punjabi,170.0,4581300.0,2021
Song_6,Shreya Ghoshal,Classical,270.0,2343632.0,2015
Song_7,Ed Sheeran,Bollywood,228.0,2864228.0,2019
Song_8,Ed Sheeran,Rock,315.0,2833559.0,2016
Song_9,Taylor Swift,Classical,144.0,3021337.0,2020
Song_10,Diljit Dosanjh,Jazz,131.0,3863935.0,2023
Song_11,Taylor Swift,Classical,140.0,4640852.0,2019
Song_12,The Weeknd,Punjabi,169.0,593470.0,2015
Song_13,Shreya Ghoshal,Jazz,194.0,679343.0,2018
Song_14,Taylor Swift,Classical,191.0,3813481.0,2025
Song_15,The Weeknd,Rock,214.0,2990226.0,2018
Song_16,Diljit Dosanjh,Bollywood,359.0,608967.0,2024
Song_17,Ed Sheeran,Punjabi,306.0,2063622.0,2017
Song_18,Adele,Classical,189.0,4682033.0,2018
Song_19,The Weeknd,Jazz,316.0,479241.0,2018
Song_20,Arijit Singh,Jazz,200.0,3375214.0,2019
Song_21,Taylor Swift,Rock,353.0,,2026
Song_22,The Weeknd,Rock,287.0,4197855.0,2021
Song_23,Adele,Rock,187.0,1181304.0,2018
Song_24,Diljit Dosanjh,Bollywood,269.0,3603963.0,2024
Song_25,Imagine Dragons,Hip-Hop,176.0,1170410.0,2023
Song_26,Adele,Pop,313.0,405240.0,2016
Song_27,Ed Sheeran,Bollywood,160.0,3551334.0,2024
Song_28,Taylor Swift,Classical,217.0,3936287.0,2023
Song_29,Diljit Dosanjh,Punjabi,340.0,106309.0,2025
Song_30,Taylor Swift,Bollywood,346.0,4514433.0,2019
Song_31,The Weeknd,Pop,195.0,3657075.0,2017
Song_32,Adele,Pop,304.0,2219467.0,2023
Song_33,Ed Sheeran,Punjabi,353.0,902638.0,2025
