Title,Genre,Language,Rating,Duration,Release Year
Movie_1,Drama,Hindi,7.5,86,2016
Movie_2,Thriller,English,7.4,87,2023
Movie_3,Comedy,English,6.3,133,2016
Movie_4,Comedy,English,8.1,87,2024
Movie_5,Action,Hindi,8.4,154,2015
Movie_6,Thriller,Japanese,7.5,108,2015
Movie_7,Thriller,Hindi,7.1,98,2023
Movie_8,Action,Japanese,7.2,167,2017
Movie_9,Action,Japanese,8.2,104,2020
Movie_10,Action,Japanese,8.7,152,2015
Movie_11,Thriller,Hindi,7.9,148,2021
Movie_12,Drama,Korean,8.2,138,2020
Movie_13,Drama,Hindi,,169,2018
Movie_14,Action,Japanese,7.1,143,2020
Movie_15,Romance,Korean,7.1,89,2016
Movie_16,Thriller,Korean,6.6,123,2017
Movie_17,Sci-Fi,Korean,6.1,165,2016
Movie_18,Thriller,Japanese,9.0,120,2020
Movie_19,Romance,Spanish,8.3,154,2022
Movie_20,Action,English,9.6,140,2026
Movie_6,Romance,English,6.2,169,2019
Movie_22,Romance,Japanese,9.8,137,2019
Movie_23,Romance,Korean,9.4,124,2015
Movie_24,Sci-Fi,Spanish,6.6,94,2022
Movie_25,Action,Hindi,8.9,96,2026
Movie_26,Comedy,Korean,7.5,143,2016
Movie_27,Comedy,Korean,7.5,115,2017
Movie_28,Sci-Fi,Japanese,7.1,133,2020
Movie_29,Romance,Korean,9.6,99,2016
Movie_30,Comedy,Hindi,6.9,109,2015
Movie_31,Sci-Fi,Japanese,6.7,116,2015
Movie_32,Comedy,Korean,8.0,158,2024
Movie_33,Drama,Hindi,8.6,145,2024
Movie_34,Romance,English,7.7,179,2025
Movie_35,Thriller,Korean,7.5,130,2016
Movie_36,Sci-Fi,Korean,6.2,88,2018
Movie_37,Sci-Fi,Hindi,6.4,156,2015
Movie_38,Action,English,,148,2016
Movie_39,Drama,Japanese,6.1,106,2024
Movie_40,Sci-Fi,Hindi,8.4,124,2024
Movie_41,Drama,Korean,6.5,142,2022
Movie_42,Sci-Fi,Korean,7.2,98,2016
Movie_43,Romance,Spanish,8.8,141,2026
Movie_44,Comedy,Japanese,6.1,147,2020
Movie_45,Comedy,Japanese,9.5,177,2023
Movie_11,Drama,English,8.6,113,2023
Movie_47,Drama,Hindi,7.4,108,2023
Movie_48,Thriller,Japanese,7.3,108,2024
Movie_49,Comedy,Hindi,9.1,174,2018
Movie_50,Comedy,Japanese,7.9,173,2015
Movie_51,Action,Spanish,7.8,104,2026
Movie_52,Thriller,Spanish,7.7,172,2020
Movie_53,Drama,English,6.8,109,2022
Movie_54,Comedy,Spanish,6.8,159,2024
Movie_55,Action,Korean,9.5,124,2025
Movie_56,Action,English,9.5,180,2026
Movie_57,Comedy,Korean,9.4,135,2025
Movie_58,Drama,English,9.0,172,2021
Movie_59,Sci-Fi,Korean,8.8,90,2026
Movie_60,Comedy,Hindi,9.8,83,2017
