Athlete,Country,Sport,Age,Height,Weight,Gold_Medals
Athlete_1,Germany,Athletics,18,190.8,63.4,2
Athlete_2,Germany,Athletics,35,154.8,76.6,0
Athlete_3,India,Swimming,25,177.8,47.0,3
Athlete_4,Germany,Shooting,35,173.1,78.7,4
Athlete_5,UK,Badminton,18,191.7,57.0,6
Athlete_6,China,Wrestling,22,161.8,102.3,1
Athlete_7,India,Boxing,21,169.7,70.8,4
Athlete_8,UK,Athletics,32,179.5,118.0,6
Athlete_9,India,Hockey,27,195.6,91.4,5
Athlete_10,Australia,Swimming,20,152.5,62.1,4
Athlete_11,India,Badminton,25,,73.5,7
Athlete_12,Germany,Badminton,29,158.9,71.6,4
Athlete_13,Germany,Shooting,38,153.9,92.6,8
Athlete_14,Germany,Swimming,23,175.4,65.2,8
Athlete_15,USA,Shooting,28,196.4,103.2,3
Athlete_16,UK,Athletics,28,172.1,50.0,5
Athlete_17,USA,Shooting,33,171.8,113.6,7
Athlete_18,USA,Wrestling,22,163.6,87.1,4
Athlete_19,Germany,Hockey,31,199.4,75.0,3
Athlete_20,USA,Hockey,33,155.0,48.5,1
Athlete_21,USA,Shooting,23,193.6,76.7,1
Athlete_22,Japan,Boxing,37,204.8,84.7,8
Athlete_23,UK,Athletics,21,187.5,85.3,4
Athlete_24,UK,Shooting,28,156.1,77.6,7
Athlete_25,India,Shooting,26,203.5,102.1,8
Athlete_26,India,Badminton,38,166.4,,3
Athlete_27,USA,Wrestling,23,179.7,103.4,8
Athlete_28,India,Hockey,28,176.9,53.4,5
Athlete_29,UK,Badminton,27,163.2,63.1,1
Athlete_30,India,Shooting,33,194.9,118.3,8
Athlete_31,UK,Swimming,22,186.3,116.0,2
Athlete_32,China,Hockey,37,173.3,60.9,8
Athlete_33,UK,Shooting,24,189.2,74.9,5
Athlete_34,Japan,Hockey,32,156.7,61.9,5
Athlete_35,India,Hockey,35,162.7,61.5,1
Athlete_36,Germany,Shooting,19,162.6,112.9,5
Athlete_37,India,Hockey,25,165.3,81.4,8
Athlete_38,USA,Shooting,36,181.7,63.2,7
Athlete_39,UK,Boxing,24,155.2,94.4,5
Athlete_40,Japan,Boxing,32,197.5,49.1,1
Athlete_41,India,Boxing,28,194.0,53.2,3
Athlete_42,USA,Hockey,32,157.7,58.8,7
Athlete_43,USA,Badminton,20,174.4,109.6,8
Athlete_44,India,Athletics,38,205.0,107.7,1
Athlete_45,UK,Badminton,25,159.1,81.4,3
Athlete_46,UK,Boxing,19,159.1,45.2,6
Athlete_47,China,Badminton,32,165.7,97.2,8
Athlete_48,Germany,Shooting,33,158.5,67.3,0
Athlete_49,Australia,Shooting,35,153.4,68.5,0
Athlete_50,Australia,Boxing,34,200.6,84.8,0
Athlete_51,Australia,,23,153.8,50.1,3
Athlete_52,Japan,Athletics,36,163.5,89.6,1
Athlete_53,Japan,Shooting,36,181.1,68.7,4
Athlete_54,USA,Shooting,28,163.1,74.7,4
Athlete_55,Japan,Wrestling,20,150.5,91.6,1
Athlete_56,India,Hockey,24,177.8,54.9,5
Athlete_57,India,Swimming,29,165.7,77.9,8
Athlete_58,Germany,Wrestling,37,204.1,105.5,8
Athlete_59,India,Shooting,35,166.5,94.8,2
Athlete_60,China,Athletics,21,190.8,56.7,4
Athlete_61,Australia,Swimming,28,161.2,92.6,4
Athlete_62,Australia,Boxing,26,199.8,108.5,1
Athlete_63,Germany,Boxing,26,152.4,70.0,2
Athlete_64,Germany,Wrestling,23,190.8,86.4,6
Athlete_65,Australia,Athletics,21,154.1,111.2,2
Athlete_66,Australia,Athletics,29,182.0,56.1,2
Athlete_67,India,Wrestling,29,199.4,104.7,0
Athlete_68,China,Swimming,25,186.7,71.5,8
Athlete_69,UK,Boxing,37,191.2,114.4,3
Athlete_70,UK,Swimming,23,198.5,46.9,5
Athlete_71,UK,Boxing,25,164.7,104.1,1
Athlete_72,Japan,Badminton,19,197.2,61.7,7
Athlete_73,China,Wrestling,25,162.3,94.5,6
Athlete_74,China,Wrestling,20,203.2,65.9,8
Athlete_75,Japan,Shooting,35,168.2,47.1,4
Athlete_76,USA,Hockey,26,152.1,89.7,5
Athlete_77,Germany,Badminton,28,174.0,118.8,1
Athlete_78,Japan,Hockey,24,164.0,98.2,0
Athlete_79,Australia,Badminton,35,187.8,115.5,3
Athlete_80,China,Boxing,20,202.2,114.1,5
Athlete_81,Germany,Badminton,21,189.6,67.5,4
Athlete_82,Germany,Boxing,28,172.1,67.2,2
Athlete_83,USA,Boxing,30,187.3,112.7,4
Athlete_84,Japan,Hockey,18,166.7,60.8,5
Athlete_85,Japan,Boxing,32,187.2,83.3,2
Athlete_86,Germany,Athletics,27,178.3,92.5,5
Athlete_87,India,Badminton,25,187.0,61.8,3
Athlete_88,USA,Athletics,19,163.5,80.6,1
Athlete_89,Japan,Boxing,38,181.7,98.9,6
Athlete_90,Japan,Boxing,25,158.1,96.6,1
Athlete_91,UK,Boxing,25,159.7,116.8,8
Athlete_92,Japan,Athletics,35,163.7,108.6,7
Athlete_93,USA,Badminton,32,186.7,119.1,5
Athlete_94,UK,Boxing,37,194.8,111.9,6
Athlete_95,UK,Hockey,32,199.3,100.8,7
Athlete_96,Japan,Wrestling,25,196.2,65.8,8
Athlete_97,Japan,Shooting,25,165.1,50.8,4
Athlete_98,USA,Wrestling,28,167.6,85.5,2
Athlete_99,USA,Swimming,30,188.2,98.0,1
Athlete_100,Japan,Boxing,28,179.8,76.2,3
Athlete_101,UK,Boxing,30,199.8,88.8,0
Athlete_102,UK,Badminton,36,170.9,45.4,5
Athlete_103,China,Badminton,30,196.9,116.5,6
Athlete_104,Australia,Shooting,35,194.0,112.3,7
Athlete_105,USA,Wrestling,31,176.7,74.2,6
Athlete_106,Germany,Swimming,32,200.6,118.6,8
Athlete_107,India,Boxing,36,181.0,47.0,6
Athlete_108,USA,Badminton,32,160.0,64.5,5
Athlete_109,USA,Boxing,28,168.6,111.0,4
Athlete_110,UK,Badminton,31,163.9,51.1,0
Athlete_111,Germany,Hockey,19,205.0,71.2,1
Athlete_112,UK,Shooting,19,191.5,116.2,3
Athlete_113,UK,Athletics,37,158.4,54.5,1
Athlete_114,Australia,Swimming,32,188.5,102.5,2
