Student_ID,Course,Hours_Studied,Quiz_Score,Completion_Percentage,Device,Country
ST001,SQL,53.1,30.0,30.9,Mobile,UK
ST002,Machine Learning,26.1,30.0,24.5,Laptop,Germany
ST003,Data Science,13.0,30.0,20.0,Laptop,India
ST004,Data Science,119.7,79.0,100.0,Mobile,India
ST005,Gen AI,67.1,46.1,53.1,Tablet,India
ST006,SQL,90.2,41.8,76.4,Laptop,USA
ST007,Machine Learning,88.8,50.3,55.6,Mobile,UK
ST008,SQL,13.6,30.0,20.0,Mobile,Australia
ST009,Machine Learning,118.7,58.3,91.8,Mobile,UK
ST010,SQL,44.2,30.0,31.4,Laptop,UK
ST011,Machine Learning,49.4,44.5,31.1,Laptop,India
ST012,SQL,87.6,67.3,65.0,Laptop,Germany
ST013,Machine Learning,91.0,46.3,71.1,Mobile,Germany
ST014,Python,25.8,30.0,20.0,Tablet,Canada
ST015,Machine Learning,111.9,59.5,74.6,Tablet,USA
ST016,Data Science,48.1,34.4,38.8,Mobile,USA
ST017,Data Science,110.5,56.2,90.7,Laptop,Canada
ST018,Data Science,63.2,42.9,58.6,Laptop,Germany
ST019,Python,55.5,30.5,46.6,Laptop,Canada
ST020,Python,103.1,66.6,63.5,Laptop,UK
ST021,Python,105.1,,68.5,Laptop,Australia
ST022,Data Science,10.7,30.0,20.0,Tablet,UK
ST023,Python,114.6,80.7,82.7,Laptop,Canada
ST024,Machine Learning,93.9,55.9,82.2,Laptop,USA
ST025,Machine Learning,72.7,32.8,59.8,Laptop,USA
ST026,Python,35.4,30.0,20.0,Tablet,UK
ST027,Gen AI,83.6,57.7,71.2,Laptop,USA
ST028,Python,50.7,30.0,39.8,Mobile,India
ST029,Python,80.4,37.0,60.5,Laptop,UK
ST030,SQL,76.4,36.3,66.8,Laptop,Australia
ST006,SQL,90.2,41.8,76.4,Laptop,USA
ST032,Python,49.6,40.7,31.6,Mobile,Australia
ST033,SQL,34.1,30.0,20.0,Laptop,UK
ST034,SQL,40.6,36.4,21.3,Laptop,Germany
ST035,Data Science,114.0,56.4,89.2,Laptop,Australia
ST036,Gen AI,116.2,64.0,93.9,Laptop,Germany
ST037,SQL,12.3,30.0,20.0,Laptop,Canada
ST038,Data Science,17.4,30.0,20.0,Mobile,UK
ST039,Machine Learning,76.5,31.5,60.5,Laptop,Germany
ST040,Machine Learning,49.8,30.0,26.6,Laptop,UK
ST041,Python,33.4,30.0,31.2,Mobile,UK
ST042,SQL,50.9,30.0,27.6,Tablet,Australia
ST043,Python,9.3,30.0,20.0,Mobile,USA
ST044,Data Science,77.1,54.0,61.7,Mobile,Australia
ST045,Gen AI,33.2,32.4,20.0,Mobile,Germany
ST046,Python,23.6,30.0,25.1,Mobile,India
ST047,Machine Learning,25.2,30.0,20.0,Laptop,Australia
ST048,Data Science,118.0,85.5,79.4,Laptop,Australia
ST049,Gen AI,47.8,31.1,23.9,Laptop,India
ST050,Gen AI,64.2,51.9,60.4,Mobile,Germany
ST051,SQL,32.4,30.0,27.4,Laptop,UK
ST052,Data Science,51.2,30.0,40.9,Mobile,Australia
ST053,Data Science,76.5,33.9,70.5,Laptop,Canada
ST054,Gen AI,7.2,30.0,20.0,Mobile,Australia
ST055,Data Science,32.6,30.0,22.4,Laptop,Canada
ST056,SQL,57.2,46.2,36.9,Laptop,UK
ST057,Machine Learning,101.7,55.3,73.9,Mobile,USA
ST058,SQL,71.1,52.4,54.4,Laptop,India
ST059,Machine Learning,13.4,30.0,20.0,Tablet,Australia
ST060,SQL,22.5,30.0,20.0,Laptop,UK
ST061,Data Science,83.1,55.1,51.1,Laptop,Canada
ST062,Gen AI,78.6,32.4,67.1,Mobile,USA
ST063,Machine Learning,16.3,30.0,20.0,Laptop,USA
ST064,Python,72.3,36.6,61.5,Laptop,India
ST065,Python,31.8,30.0,20.0,Laptop,USA
ST066,Machine Learning,53.7,30.0,29.5,Laptop,Australia
ST067,Gen AI,74.8,48.9,59.1,Laptop,Canada
ST068,Data Science,60.0,46.9,41.2,Laptop,Canada
ST069,Python,30.0,30.0,31.1,Laptop,India
ST070,Gen AI,49.9,43.2,48.0,Mobile,India
ST071,Gen AI,24.9,30.0,20.0,Laptop,Australia
ST072,SQL,26.0,30.0,20.0,Laptop,USA
ST073,Machine Learning,68.8,49.5,57.2,Mobile,Canada
ST074,Python,32.6,30.0,20.0,Mobile,Canada
ST075,Machine Learning,20.1,30.0,20.0,Mobile,India
ST076,SQL,,45.6,68.2,Laptop,Germany
ST077,Gen AI,19.1,30.0,20.0,Mobile,UK
ST078,SQL,79.8,40.5,56.7,Laptop,UK
ST079,Data Science,35.5,30.0,22.2,Laptop,Canada
ST080,Machine Learning,55.6,30.0,28.7,Laptop,USA
ST081,Data Science,21.4,30.0,20.4,Mobile,Canada
ST082,Machine Learning,100.7,59.2,75.1,Mobile,Germany
ST083,Data Science,82.4,35.3,73.4,Laptop,Canada
ST084,Data Science,45.7,30.0,30.0,Mobile,India
ST085,Gen AI,91.4,51.1,60.6,Mobile,India
ST086,SQL,73.5,39.1,64.3,Mobile,USA
ST087,SQL,21.8,30.0,20.0,Mobile,Canada
ST088,SQL,64.1,30.0,54.4,Laptop,India
ST089,Gen AI,111.0,67.3,69.1,Mobile,Canada
ST090,Python,35.2,30.9,20.0,Mobile,Germany
ST091,Machine Learning,7.4,30.0,20.0,Laptop,Germany
ST092,Machine Learning,115.7,65.6,91.6,Mobile,Canada
ST093,SQL,44.8,34.5,34.9,Laptop,Germany
ST094,Machine Learning,30.7,30.0,20.0,Mobile,UK
ST095,SQL,94.1,68.5,77.8,Laptop,USA
ST096,SQL,6.5,30.0,20.0,Laptop,India
ST097,Data Science,26.5,30.0,20.0,Mobile,USA
ST098,Machine Learning,17.9,30.0,20.0,Laptop,India
ST099,SQL,85.6,42.6,49.0,Mobile,USA
ST100,Machine Learning,70.3,34.5,49.2,Mobile,Germany
ST101,Python,51.0,44.4,45.0,Mobile,UK
ST102,Python,71.4,30.0,49.2,Mobile,UK
ST103,SQL,9.4,30.0,20.0,Laptop,UK
ST104,Gen AI,66.0,30.0,43.0,Mobile,Australia
ST105,Gen AI,49.8,38.9,21.4,Laptop,India
ST106,Data Science,42.4,34.2,36.5,Laptop,Canada
ST107,Data Science,17.9,30.0,20.0,Laptop,Canada
ST108,Data Science,64.0,30.0,60.4,Laptop,Canada
ST109,SQL,10.4,30.0,20.0,Laptop,India
ST110,Data Science,62.8,30.0,36.8,Laptop,Canada
ST111,Python,81.7,40.9,64.9,,Australia
ST112,Gen AI,65.8,35.7,41.0,Mobile,USA
ST113,Gen AI,60.2,31.0,54.9,Mobile,USA
ST114,Gen AI,83.1,58.0,66.8,Tablet,India
ST115,SQL,87.7,46.7,67.0,Mobile,USA
ST116,Data Science,8.2,30.0,20.0,Laptop,Germany
ST117,SQL,95.8,68.6,83.4,Mobile,USA
ST118,Data Science,79.9,52.9,50.3,Laptop,UK
ST119,Data Science,81.4,42.7,49.0,Laptop,USA
ST120,Python,91.8,45.1,56.8,Laptop,India
ST121,Gen AI,17.8,30.0,20.0,Laptop,Australia
ST122,Gen AI,52.5,30.0,43.9,Laptop,Canada
ST123,Python,85.7,61.5,77.9,Laptop,Australia
ST124,Gen AI,106.4,56.8,75.6,Laptop,Australia
ST125,Gen AI,28.6,30.0,20.0,Mobile,USA
ST126,Python,116.4,56.1,96.8,Mobile,Germany
ST127,Python,9.9,30.0,20.0,Mobile,USA
ST128,SQL,102.4,65.1,67.0,Mobile,India
ST129,SQL,111.8,61.3,77.0,Laptop,UK
ST130,Data Science,96.0,68.2,79.2,Mobile,USA
ST131,Gen AI,41.9,30.0,26.5,Mobile,India
ST132,Machine Learning,115.9,82.1,86.5,Mobile,USA
ST133,SQL,87.7,50.8,51.7,Laptop,UK
