Influencer,Platform,Followers,Engagement_Rate,Category
Influencer_1,Snapchat,938912.0,0.86,Gaming
Influencer_2,YouTube,1877427.0,2.52,Technology
Influencer_3,Snapchat,4579866.0,1.76,Fashion
Influencer_4,Instagram,254957.0,1.86,Education
Influencer_5,X,227599.0,8.64,Travel
Influencer_6,Snapchat,4576300.0,6.58,Fashion
Influencer_7,X,2338632.0,12.24,Technology
Influencer_8,YouTube,3550146.0,5.43,Education
Influencer_9,YouTube,2828559.0,1.98,Fashion
Influencer_10,Instagram,3016337.0,12.79,Fitness
Influencer_11,Facebook,369488.0,11.08,Fitness
Influencer_12,Instagram,3180376.0,1.64,Gaming
Influencer_13,Snapchat,3038614.0,8.87,Travel
Influencer_14,Instagram,389402.0,10.09,Food
Influencer_15,Facebook,674343.0,12.9,Food
Influencer_16,Instagram,3193729.0,4.53,Travel
Influencer_17,Facebook,1369441.0,5.87,Education
Influencer_18,Snapchat,2244572.0,10.68,Travel
Influencer_19,Snapchat,603967.0,9.33,Education
Influencer_20,X,2058622.0,2.87,Fashion
Influencer_21,Facebook,,3.68,Gaming
Influencer_22,Instagram,1926394.0,12.42,Food
Influencer_23,Facebook,3370214.0,4.38,Education
Influencer_24,X,2644709.0,3.58,Fashion
Influencer_25,LinkedIn,3854128.0,2.57,Education
Influencer_26,YouTube,4714097.0,8.32,Travel
Influencer_27,X,3598963.0,13.52,Fashion
Influencer_28,Facebook,1844795.0,14.96,Education
Influencer_29,X,4144910.0,1.82,Technology
Influencer_30,Instagram,1287125.0,9.6,Food
Influencer_31,Snapchat,3546334.0,9.15,Fashion
Influencer_32,LinkedIn,3931287.0,8.17,Fitness
Influencer_33,Instagram,965929.0,10.38,Fitness
Influencer_34,Facebook,2858598.0,2.12,Fashion
Influencer_35,YouTube,3811110.0,0.55,Travel
Influencer_36,Snapchat,2214467.0,14.59,Food
Influencer_37,YouTube,4263742.0,13.73,Food
Influencer_38,Snapchat,2508536.0,12.7,Fitness
