student_id,study_hours,attendance,previous_marks,assignments_completed,sleep_hours,internet_usage,extracurricular,pass
1,5.3,51,65,3,5.5,6.0,Yes,1
2,0.7,55,57,3,6.8,0.7,Yes,0
3,5.8,76,58,7,7.2,6.6,Yes,1
4,1.7,77,73,4,5.2,7.7,No,0
5,3.3,72,74,9,5.7,0.8,No,1
6,7.8,74,40,8,5.8,5.2,No,1
7,5.8,52,59,4,8.9,6.9,Yes,1
8,3.9,73,50,5,6.1,5.5,Yes,1
9,1.8,96,61,2,6.6,2.5,Yes,1
10,6.8,99,37,3,8.2,6.5,No,1
11,2.1,86,70,3,7.4,3.5,No,1
12,1.5,97,98,4,7.9,3.7,No,1
13,8.0,58,95,7,4.9,0.9,Yes,1
14,1.7,93,84,9,4.8,3.4,No,1
15,7.8,50,44,10,8.5,6.1,No,1
16,3.8,79,30,4,8.9,6.2,Yes,1
17,2.7,90,94,9,5.4,3.3,Yes,1
18,6.3,83,30,9,6.0,0.6,No,1
19,6.7,69,60,0,5.6,4.8,Yes,1
20,4.1,54,98,2,5.1,4.1,Yes,1
21,7.0,77,57,8,7.9,5.7,No,1
22,5.5,73,86,8,6.5,2.4,Yes,1
23,4.9,64,58,0,4.8,5.2,Yes,0
24,0.7,71,39,8,5.6,5.5,Yes,0
25,5.9,86,90,3,8.0,6.6,Yes,1
26,5.4,72,84,6,6.6,6.0,Yes,1
27,6.0,56,61,3,5.4,3.9,No,1
28,4.0,54,86,8,4.9,5.4,Yes,1
29,7.4,65,51,6,6.7,2.1,No,1
30,1.7,50,79,4,8.7,6.4,No,0
31,7.7,100,92,2,5.4,2.1,Yes,1
32,4.6,97,70,0,4.7,4.1,Yes,1
33,4.3,61,38,9,4.8,7.0,No,0
34,7.2,65,35,9,4.9,5.4,No,1
35,2.0,95,70,3,5.7,1.5,No,1
36,7.5,54,31,7,7.3,4.7,Yes,1
37,2.1,66,46,5,8.5,7.1,No,0
38,3.8,84,68,9,8.9,6.6,Yes,1
39,4.7,92,43,2,5.7,7.2,Yes,1
40,5.0,95,73,3,7.6,6.9,No,1
41,7.3,53,41,10,6.4,2.6,Yes,1
42,1.5,66,50,7,7.0,3.7,Yes,0
43,7.6,94,49,8,4.7,3.3,Yes,1
44,0.8,73,35,5,5.4,2.4,Yes,0
45,4.7,76,49,3,8.4,7.8,Yes,1
46,0.7,97,72,6,8.1,7.0,Yes,1
47,6.4,56,78,0,8.4,2.2,No,1
48,6.7,64,58,0,7.5,3.5,No,1
49,7.8,67,74,10,6.8,5.6,No,1
50,1.4,66,52,9,8.8,2.5,Yes,1
51,3.1,100,70,6,7.2,4.3,No,1
52,1.9,52,85,0,6.8,6.5,Yes,0
53,1.0,92,72,9,5.9,6.9,No,1
54,5.5,70,81,4,7.0,1.9,No,1
55,7.3,89,68,6,7.0,0.5,No,1
56,6.4,88,71,7,6.5,5.6,No,1
57,7.7,97,51,10,4.9,4.4,No,1
58,7.6,65,69,3,8.1,1.6,Yes,1
59,4.1,99,39,7,6.4,5.2,Yes,1
60,3.4,75,61,2,7.5,0.5,Yes,1
61,2.1,94,96,7,4.7,2.4,Yes,1
62,6.5,92,97,8,7.2,7.6,No,1
63,5.9,82,84,8,6.5,1.7,No,1
64,6.1,90,65,8,6.7,2.3,No,1
65,2.6,67,72,5,8.5,1.1,Yes,1
66,5.7,95,57,1,6.4,3.0,No,1
67,2.1,76,79,9,8.8,0.6,No,1
68,7.6,69,79,6,6.9,6.0,Yes,1
69,2.5,81,33,6,6.0,5.6,No,0
70,6.8,58,98,0,8.6,4.9,Yes,1
71,3.7,79,53,0,5.7,3.0,No,1
72,6.2,74,65,6,5.6,1.1,Yes,1
73,0.9,72,58,10,4.8,7.7,Yes,0
74,7.6,62,32,9,5.2,1.4,Yes,1
75,2.1,94,62,5,5.3,5.1,Yes,1
76,1.7,69,43,9,4.6,2.8,No,0
77,5.9,54,61,1,7.6,2.8,Yes,1
78,4.7,52,74,8,6.4,3.3,No,1
79,3.7,81,43,6,8.8,5.3,No,1
80,3.8,96,96,10,5.7,6.6,No,1
81,6.7,87,64,5,8.3,6.7,Yes,1
82,3.9,98,89,9,7.2,3.3,Yes,1
83,2.9,81,57,5,8.1,3.1,No,1
84,4.4,62,40,3,7.7,4.2,Yes,1
85,5.3,81,87,0,4.9,2.2,Yes,1
86,4.9,80,100,8,6.0,8.0,No,1
87,3.9,69,62,3,5.0,1.9,Yes,1
88,7.6,94,53,3,5.5,4.1,No,1
89,6.7,68,59,5,5.3,0.6,Yes,1
90,7.8,85,67,2,7.4,6.1,Yes,1
91,4.8,80,91,7,6.0,7.7,No,1
92,4.1,54,81,7,4.8,5.2,Yes,1
93,6.6,69,40,3,5.0,6.2,Yes,1
94,3.4,78,68,9,9.0,2.8,Yes,1
95,6.1,98,56,10,5.4,5.5,Yes,1
96,4.6,60,30,6,6.5,5.0,No,0
97,2.7,68,88,1,7.6,7.4,Yes,1
98,4.6,91,49,4,8.2,1.0,Yes,1
99,5.0,86,66,7,5.1,5.7,No,1
100,4.3,81,86,1,7.2,7.2,No,1
101,0.7,64,32,10,8.2,4.8,Yes,0
102,5.4,67,53,9,6.5,6.6,Yes,1
103,3.6,70,43,2,6.0,5.7,No,0
104,3.5,98,100,0,6.5,2.9,No,1
105,6.3,82,30,10,8.4,4.0,Yes,1
106,3.2,98,93,10,6.5,0.9,No,1
107,7.5,78,92,1,4.6,5.2,Yes,1
108,2.8,50,100,6,4.9,7.9,Yes,1
109,1.4,59,93,4,6.8,2.6,No,1
110,2.3,85,48,6,5.4,5.0,Yes,1
111,2.6,100,83,5,8.7,4.3,Yes,1
112,2.7,87,92,2,6.5,4.1,No,1
113,4.6,79,71,3,8.9,2.3,No,1
114,6.3,52,70,7,7.7,6.6,No,1
115,6.4,91,49,7,8.8,1.4,No,1
116,7.1,78,42,8,8.6,0.6,Yes,1
117,5.4,59,39,7,8.0,2.5,No,1
118,6.9,93,98,6,8.8,5.2,No,1
119,0.8,54,60,10,7.6,2.7,Yes,1
120,3.8,56,42,7,5.2,2.7,Yes,0
121,6.5,68,75,5,6.4,2.3,No,1
122,6.4,60,52,1,7.2,3.4,Yes,1
123,4.9,64,89,10,5.6,2.4,Yes,1
124,4.0,68,99,2,4.8,7.6,No,1
125,3.7,66,88,4,5.4,3.4,No,1
126,3.4,72,67,4,4.6,6.7,No,1
127,4.7,93,36,9,7.9,6.7,No,1
128,2.2,72,58,10,5.4,2.4,Yes,1
129,7.3,91,35,4,8.0,0.8,No,1
130,1.2,68,71,6,5.3,1.5,No,1
131,7.4,60,62,7,8.9,2.7,No,1
132,4.0,54,48,3,8.4,5.9,No,1
133,6.5,73,41,6,4.6,4.5,No,1
134,6.1,66,78,10,8.7,1.3,Yes,1
135,5.1,85,71,9,5.5,1.0,No,1
136,2.8,76,44,2,4.7,0.8,No,0
137,2.3,84,47,6,6.5,5.5,No,1
138,5.9,76,42,7,7.3,7.5,No,1
139,3.3,78,86,3,8.3,1.2,No,1
140,7.8,72,37,6,5.7,7.8,No,1
141,2.1,90,32,0,8.0,2.3,Yes,0
142,2.0,98,100,3,7.1,6.6,Yes,1
143,1.6,88,30,4,8.4,1.6,Yes,0
144,6.5,57,33,2,4.6,6.4,Yes,1
145,0.6,66,36,2,7.8,4.4,Yes,0
146,6.3,82,43,7,6.8,7.6,Yes,1
147,7.3,92,96,4,6.6,7.7,Yes,1
148,6.9,77,43,7,7.7,3.8,Yes,1
149,1.6,58,65,9,7.3,4.6,No,1
150,5.0,68,88,8,7.2,1.2,Yes,1
151,5.4,99,100,3,6.4,7.2,No,1
152,3.9,76,42,5,6.4,5.5,No,1
153,5.7,80,38,1,8.2,1.2,Yes,1
154,3.3,58,37,9,8.8,4.7,Yes,1
155,7.1,98,84,0,8.9,5.0,No,1
156,4.3,59,91,3,8.3,3.1,No,1
157,2.6,64,84,8,8.9,6.6,Yes,1
158,5.4,94,64,0,5.3,5.8,No,1
159,3.1,61,48,9,7.5,1.0,Yes,1
160,4.5,74,83,7,6.0,3.3,No,1
161,4.8,55,36,2,5.2,5.1,Yes,0
162,5.5,81,86,6,5.7,6.2,Yes,1
163,1.3,93,92,8,7.5,0.8,No,1
164,0.9,63,68,3,8.0,6.2,No,0
165,0.6,97,85,2,5.1,4.5,Yes,1
166,6.8,72,39,6,8.4,0.8,Yes,1
167,1.1,70,84,9,6.3,5.3,No,1
168,0.7,70,51,9,6.6,5.7,No,0
169,6.8,65,85,9,6.3,1.1,No,1
170,2.2,99,51,1,6.8,1.4,Yes,1
171,3.1,96,48,3,5.0,2.4,Yes,1
172,6.2,91,39,2,8.8,5.2,No,1
173,6.2,78,71,10,5.9,3.8,No,1
174,2.8,67,37,5,6.8,2.8,No,0
175,3.3,68,39,10,8.4,6.9,No,1
176,4.7,100,35,7,8.6,4.8,Yes,1
177,4.1,59,37,7,5.0,7.2,No,1
178,1.1,91,52,0,5.6,3.8,No,0
179,5.1,73,77,4,6.2,6.3,Yes,1
180,5.4,54,72,1,7.0,3.4,No,1
181,5.4,88,49,5,4.9,5.5,No,1
182,5.4,92,80,2,7.2,7.5,No,1
183,5.3,71,46,10,7.7,7.6,Yes,1
184,3.7,73,32,5,5.9,7.6,No,1
185,4.1,64,47,2,4.8,6.8,Yes,0
186,4.5,97,97,0,7.5,7.1,Yes,1
187,1.7,61,51,7,4.7,3.2,Yes,1
188,5.1,98,87,3,6.9,2.8,No,1
