Movie Name,Genre,Rating,Duration,Release Year,Language,Views
Stranger Dreams,Sci-Fi,8.7,142,2022,English,125.4
The Last Kingdom,Action,8.4,152,2021,English,110.2
Midnight Smile,Comedy,6.5,95,2019,Spanish,45.8
Cyber City,Sci-Fi,7.9,118,2023,English,98.5
Ocean Echoes,Documentary,8.2,88,2020,English,65.0
Shadow Walkers,Thriller,7.1,110,2022,Korean,105.3
Love in Paris,Romance,6.8,102,2021,French,55.4
The Final Line,Drama,8.5,135,2023,English,140.6
Lost Identity,Thriller,7.8,122,2018,English,88.2
Space Bound,Sci-Fi,9.1,165,2024,English,185.3
Hidden Truth,Documentary,7.4,90,2022,Spanish,35.1
Laugh Out Loud,Comedy,,88,2020,English,72.4
Red Notice 2,Action,6.9,128,2023,English,210.5
Whispering Woods,Horror,5.8,94,2021,English,48.9
The Masterpiece,Drama,8.9,148,2021,Italian,102.1
Time Loop,Sci-Fi,8.1,115,2022,Japanese,115.8
Golden Age,History,7.6,150,2017,English,52.3
Speed Chasers,Action,7.2,112,2024,Spanish,132.0
Dark Matter,Sci-Fi,,130,2023,English,95.0
Chef's Table World,Documentary,8.6,85,2022,French,78.2
Deep Blue Sea,Action,6.1,105,2019,English,112.4
Code Red,Thriller,8.3,124,2023,English,108.7
Silent Valley,Drama,7.9,119,2021,German,42.1
The Standup Live,Comedy,7.0,75,2022,English,
Neon Neon,Action,8.2,140,2025,English,155.0
