House_ID,Family_Size,Daily_Water_Usage,Area,Income_Group
H001,7,378.0,Urban,High
H002,4,651.0,Urban,Low
H003,7,359.0,Rural,High
H004,6,328.0,Rural,Middle
H005,2,211.0,Urban,Low
H006,3,1184.0,Rural,Low
H007,6,557.0,Rural,High
H008,7,1009.0,Urban,Middle
H009,6,719.0,Urban,Low
H010,7,1015.0,Semi-Urban,Middle
H011,3,590.0,Semi-Urban,Low
H012,2,928.0,Urban,Middle
H013,8,854.0,Rural,Middle
H014,8,238.0,Rural,Middle
H015,6,405.0,Semi-Urban,Low
H016,6,,Rural,High
H017,8,890.0,Rural,Low
H018,7,292.0,Urban,High
H019,3,742.0,Urban,Low
H020,8,356.0,Semi-Urban,Middle
H021,5,897.0,Urban,Middle
H022,4,579.0,Rural,Middle
H023,7,296.0,Rural,High
H024,3,651.0,Urban,Middle
H025,5,702.0,Rural,High
H026,6,599.0,Rural,Middle
H027,8,264.0,Urban,Low
H028,8,796.0,Semi-Urban,Middle
H029,2,582.0,Rural,High
H030,4,585.0,Rural,Middle
H031,5,1089.0,Urban,Middle
H032,3,655.0,Rural,High
H033,6,688.0,Rural,High
H034,5,967.0,Semi-Urban,Low
H035,3,1193.0,Semi-Urban,Low
H036,8,246.0,Urban,Low
H037,7,477.0,Rural,Middle
H038,6,280.0,Semi-Urban,Middle
H039,6,1108.0,Rural,Middle
H040,6,173.0,Rural,High
H041,2,696.0,Rural,Middle
H042,2,751.0,Semi-Urban,Low
H043,5,156.0,Rural,High
H044,4,1175.0,Urban,High
H045,2,761.0,Rural,High
H046,6,557.0,Urban,Middle
H047,8,480.0,Rural,High
H048,2,813.0,Semi-Urban,Low
H049,2,893.0,Semi-Urban,Low
H050,2,643.0,Rural,Low
H051,2,1145.0,Urban,High
H052,8,407.0,Urban,High
H053,5,488.0,Semi-Urban,High
H054,8,1016.0,Urban,High
H055,8,561.0,Rural,Middle
H056,5,914.0,Semi-Urban,High
H057,5,397.0,Urban,Low
H058,2,842.0,Urban,High
H059,6,621.0,Rural,Low
H060,2,295.0,Rural,High
H061,2,618.0,Urban,Low
H062,8,826.0,Urban,High
H063,3,720.0,Rural,Middle
H064,3,420.0,Rural,High
H065,6,1118.0,Urban,Middle
H066,8,983.0,Urban,Low
H067,2,1032.0,Semi-Urban,Middle
H068,5,1106.0,Rural,Low
H069,7,351.0,Urban,Middle
H070,7,844.0,Urban,Low
H071,3,539.0,Rural,
H072,3,1014.0,Urban,Middle
H073,5,661.0,Urban,Middle
H074,8,350.0,Urban,High
H075,6,180.0,Urban,Low
H076,3,982.0,Semi-Urban,Middle
H077,3,971.0,Urban,Low
H078,5,154.0,Semi-Urban,Middle
H079,8,1081.0,Semi-Urban,Middle
H080,7,1146.0,Urban,Low
H081,4,595.0,Urban,High
H082,7,274.0,Rural,Middle
H083,2,252.0,Rural,Middle
H084,6,472.0,Urban,High
H085,2,530.0,Urban,High
H086,2,631.0,Semi-Urban,Low
H087,6,654.0,Rural,High
H088,2,317.0,Semi-Urban,High
H089,6,797.0,Semi-Urban,Low
H090,7,793.0,Urban,Middle
H091,5,418.0,Rural,High
H092,4,1086.0,Semi-Urban,Low
H093,2,1088.0,Rural,High
H094,2,300.0,Rural,Low
H095,6,693.0,Urban,Middle
H096,2,650.0,Semi-Urban,Middle
H097,3,1047.0,Rural,High
H098,4,166.0,Rural,High
H099,4,362.0,Urban,Middle
H100,2,369.0,Rural,High
H101,3,707.0,Semi-Urban,High
H102,3,852.0,Urban,High
H103,7,690.0,Rural,Middle
H104,4,254.0,Urban,High
H105,5,716.0,Urban,Low
H106,4,417.0,Rural,Middle
H107,3,1054.0,Rural,High
H108,5,169.0,Urban,Low
H109,7,455.0,Rural,Low
H110,8,906.0,Rural,High
H111,3,1030.0,Urban,Low
H112,4,896.0,Urban,Middle
H113,3,661.0,Rural,Low
H114,4,982.0,Rural,High
H115,3,634.0,Urban,Low
H116,5,200.0,Urban,High
H117,4,993.0,Rural,High
H118,8,658.0,Semi-Urban,Low
H119,8,371.0,Semi-Urban,Low
H120,8,1113.0,Urban,Low
H121,8,1092.0,Semi-Urban,Middle
H122,8,616.0,Urban,Low
H123,7,545.0,Semi-Urban,Middle
H124,4,292.0,Semi-Urban,Middle
H125,7,1193.0,Semi-Urban,High
H126,8,828.0,Urban,Low
H127,4,515.0,Rural,Middle
H128,2,372.0,Rural,Middle
H129,4,792.0,Semi-Urban,High
H130,6,386.0,Semi-Urban,High
H131,3,671.0,Urban,High
H132,5,153.0,Rural,High
H133,7,553.0,Semi-Urban,Middle
H134,2,826.0,Rural,Middle
H135,7,405.0,Rural,Middle
H136,6,783.0,Rural,Middle
H137,4,974.0,Rural,Middle
H138,6,410.0,Urban,Middle
H139,7,926.0,Rural,High
H140,3,766.0,Semi-Urban,High
H141,8,150.0,Semi-Urban,Middle
H142,3,1030.0,Rural,High
H143,7,809.0,Semi-Urban,Middle
H144,5,587.0,Rural,Middle
H145,8,497.0,Rural,Low
H146,4,836.0,Urban,Low
H147,7,785.0,Urban,Low
H148,3,200.0,Urban,Low
H149,5,299.0,Semi-Urban,Middle
H150,7,548.0,Rural,High
H151,5,1162.0,Semi-Urban,Low
H152,3,161.0,Urban,Middle
H153,3,510.0,Rural,High
H154,5,252.0,Rural,Low
H155,8,398.0,Semi-Urban,Low
H156,8,1101.0,Rural,High
H157,6,799.0,Semi-Urban,High
H158,8,1183.0,Semi-Urban,High
H159,5,475.0,Rural,Middle
H160,5,680.0,Urban,High
H161,4,1142.0,Rural,Low
H162,4,1050.0,Urban,High
H163,4,630.0,Semi-Urban,Middle
H164,4,315.0,Urban,Low
H165,3,934.0,Rural,Low
H166,7,588.0,Urban,Middle
H167,5,827.0,Rural,Middle
H168,5,277.0,Urban,Middle
H169,5,190.0,Rural,Middle
H170,5,162.0,Semi-Urban,Middle
H171,8,948.0,Semi-Urban,High
H172,7,601.0,Semi-Urban,Low
H173,4,1042.0,Semi-Urban,Low
H174,5,838.0,Rural,High
H175,8,978.0,Rural,Low
H176,8,1107.0,Urban,High
H177,6,205.0,Semi-Urban,High
H178,6,205.0,Urban,High
H179,5,427.0,Semi-Urban,Low
H026,6,599.0,Rural,Middle
